"freq
References : ['S(2,1)','S(1,1)']
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Real","S(2,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(1,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
1.510 GHz,1.380E-6 / -52.500,0.996 / -141.166
1.510 GHz,1.381E-6 / -52.512,0.996 / -141.177
1.510 GHz,1.382E-6 / -52.523,0.996 / -141.188
1.510 GHz,1.383E-6 / -52.534,0.996 / -141.199
1.510 GHz,1.384E-6 / -52.545,0.996 / -141.210
1.510 GHz,1.384E-6 / -52.556,0.996 / -141.221
1.510 GHz,1.385E-6 / -52.567,0.996 / -141.232
1.510 GHz,1.386E-6 / -52.578,0.996 / -141.243
1.510 GHz,1.387E-6 / -52.589,0.996 / -141.254
1.511 GHz,1.388E-6 / -52.600,0.996 / -141.265
1.511 GHz,1.389E-6 / -52.611,0.996 / -141.276
1.511 GHz,1.390E-6 / -52.623,0.996 / -141.288
1.511 GHz,1.391E-6 / -52.634,0.996 / -141.299
1.511 GHz,1.392E-6 / -52.645,0.996 / -141.310
1.511 GHz,1.393E-6 / -52.656,0.996 / -141.321
1.511 GHz,1.394E-6 / -52.667,0.996 / -141.332
1.511 GHz,1.395E-6 / -52.678,0.996 / -141.343
1.511 GHz,1.396E-6 / -52.689,0.996 / -141.354
1.512 GHz,1.397E-6 / -52.700,0.996 / -141.365
1.512 GHz,1.398E-6 / -52.711,0.996 / -141.376
1.512 GHz,1.399E-6 / -52.723,0.996 / -141.387
1.512 GHz,1.400E-6 / -52.734,0.996 / -141.398
1.512 GHz,1.401E-6 / -52.745,0.996 / -141.409
1.512 GHz,1.402E-6 / -52.756,0.996 / -141.420
1.512 GHz,1.403E-6 / -52.767,0.996 / -141.431
1.512 GHz,1.404E-6 / -52.778,0.996 / -141.442
1.512 GHz,1.405E-6 / -52.789,0.996 / -141.453
1.512 GHz,1.406E-6 / -52.800,0.996 / -141.464
1.512 GHz,1.407E-6 / -52.812,0.996 / -141.475
1.513 GHz,1.408E-6 / -52.823,0.996 / -141.487
1.513 GHz,1.409E-6 / -52.834,0.996 / -141.498
1.513 GHz,1.410E-6 / -52.845,0.996 / -141.509
1.513 GHz,1.411E-6 / -52.856,0.996 / -141.520
1.513 GHz,1.412E-6 / -52.867,0.996 / -141.531
1.513 GHz,1.413E-6 / -52.878,0.996 / -141.542
1.513 GHz,1.414E-6 / -52.889,0.996 / -141.553
1.513 GHz,1.415E-6 / -52.901,0.996 / -141.564
1.513 GHz,1.416E-6 / -52.912,0.996 / -141.575
1.514 GHz,1.417E-6 / -52.923,0.996 / -141.586
1.514 GHz,1.418E-6 / -52.934,0.996 / -141.597
1.514 GHz,1.419E-6 / -52.945,0.996 / -141.608
1.514 GHz,1.420E-6 / -52.956,0.996 / -141.619
1.514 GHz,1.421E-6 / -52.967,0.996 / -141.630
1.514 GHz,1.422E-6 / -52.978,0.996 / -141.642
1.514 GHz,1.423E-6 / -52.990,0.996 / -141.653
1.514 GHz,1.424E-6 / -53.001,0.996 / -141.664
1.514 GHz,1.425E-6 / -53.012,0.996 / -141.675
1.514 GHz,1.426E-6 / -53.023,0.996 / -141.686
1.514 GHz,1.427E-6 / -53.034,0.996 / -141.697
1.515 GHz,1.428E-6 / -53.045,0.996 / -141.708
1.515 GHz,1.429E-6 / -53.056,0.996 / -141.719
1.515 GHz,1.430E-6 / -53.067,0.996 / -141.730
1.515 GHz,1.431E-6 / -53.079,0.996 / -141.741
1.515 GHz,1.432E-6 / -53.090,0.996 / -141.752
1.515 GHz,1.433E-6 / -53.101,0.996 / -141.763
1.515 GHz,1.434E-6 / -53.112,0.996 / -141.774
1.515 GHz,1.435E-6 / -53.123,0.996 / -141.786
1.515 GHz,1.436E-6 / -53.134,0.996 / -141.797
1.516 GHz,1.437E-6 / -53.145,0.996 / -141.808
1.516 GHz,1.438E-6 / -53.157,0.996 / -141.819
1.516 GHz,1.439E-6 / -53.168,0.996 / -141.830
1.516 GHz,1.440E-6 / -53.179,0.996 / -141.841
1.516 GHz,1.441E-6 / -53.190,0.996 / -141.852
1.516 GHz,1.442E-6 / -53.201,0.996 / -141.863
1.516 GHz,1.443E-6 / -53.212,0.996 / -141.874
1.516 GHz,1.444E-6 / -53.223,0.996 / -141.885
1.516 GHz,1.445E-6 / -53.235,0.996 / -141.896
1.516 GHz,1.446E-6 / -53.246,0.996 / -141.908
1.516 GHz,1.447E-6 / -53.257,0.996 / -141.919
1.517 GHz,1.448E-6 / -53.268,0.996 / -141.930
1.517 GHz,1.449E-6 / -53.279,0.996 / -141.941
1.517 GHz,1.450E-6 / -53.290,0.996 / -141.952
1.517 GHz,1.451E-6 / -53.302,0.996 / -141.963
1.517 GHz,1.452E-6 / -53.313,0.996 / -141.974
1.517 GHz,1.453E-6 / -53.324,0.996 / -141.985
1.517 GHz,1.454E-6 / -53.335,0.996 / -141.996
1.517 GHz,1.455E-6 / -53.346,0.996 / -142.007
1.517 GHz,1.456E-6 / -53.357,0.996 / -142.018
1.518 GHz,1.457E-6 / -53.368,0.996 / -142.030
1.518 GHz,1.458E-6 / -53.380,0.996 / -142.041
1.518 GHz,1.459E-6 / -53.391,0.996 / -142.052
1.518 GHz,1.460E-6 / -53.402,0.996 / -142.063
1.518 GHz,1.461E-6 / -53.413,0.996 / -142.074
1.518 GHz,1.462E-6 / -53.424,0.996 / -142.085
1.518 GHz,1.463E-6 / -53.435,0.996 / -142.096
1.518 GHz,1.464E-6 / -53.447,0.996 / -142.107
1.518 GHz,1.466E-6 / -53.458,0.996 / -142.118
1.518 GHz,1.467E-6 / -53.469,0.996 / -142.130
1.518 GHz,1.468E-6 / -53.480,0.996 / -142.141
1.519 GHz,1.469E-6 / -53.491,0.996 / -142.152
1.519 GHz,1.470E-6 / -53.502,0.996 / -142.163
1.519 GHz,1.471E-6 / -53.514,0.996 / -142.174
1.519 GHz,1.472E-6 / -53.525,0.996 / -142.185
1.519 GHz,1.473E-6 / -53.536,0.996 / -142.196
1.519 GHz,1.474E-6 / -53.547,0.996 / -142.207
1.519 GHz,1.475E-6 / -53.558,0.996 / -142.218
1.519 GHz,1.476E-6 / -53.569,0.996 / -142.230
1.519 GHz,1.477E-6 / -53.581,0.996 / -142.241
1.520 GHz,1.478E-6 / -53.592,0.996 / -142.252
1.520 GHz,1.479E-6 / -53.603,0.996 / -142.263
1.520 GHz,1.480E-6 / -53.614,0.996 / -142.274
1.520 GHz,1.481E-6 / -53.625,0.996 / -142.285
1.520 GHz,1.482E-6 / -53.636,0.996 / -142.296
1.520 GHz,1.483E-6 / -53.648,0.996 / -142.307
1.520 GHz,1.484E-6 / -53.659,0.995 / -142.318
1.520 GHz,1.485E-6 / -53.670,0.995 / -142.330
1.520 GHz,1.486E-6 / -53.681,0.995 / -142.341
1.520 GHz,1.487E-6 / -53.692,0.995 / -142.352
1.520 GHz,1.488E-6 / -53.704,0.995 / -142.363
1.521 GHz,1.490E-6 / -53.715,0.995 / -142.374
1.521 GHz,1.491E-6 / -53.726,0.995 / -142.385
1.521 GHz,1.492E-6 / -53.737,0.995 / -142.396
1.521 GHz,1.493E-6 / -53.748,0.995 / -142.407
1.521 GHz,1.494E-6 / -53.759,0.995 / -142.419
1.521 GHz,1.495E-6 / -53.771,0.995 / -142.430
1.521 GHz,1.496E-6 / -53.782,0.995 / -142.441
1.521 GHz,1.497E-6 / -53.793,0.995 / -142.452
1.521 GHz,1.498E-6 / -53.804,0.995 / -142.463
1.522 GHz,1.499E-6 / -53.815,0.995 / -142.474
1.522 GHz,1.500E-6 / -53.827,0.995 / -142.485
1.522 GHz,1.501E-6 / -53.838,0.995 / -142.496
1.522 GHz,1.502E-6 / -53.849,0.995 / -142.508
1.522 GHz,1.503E-6 / -53.860,0.995 / -142.519
1.522 GHz,1.504E-6 / -53.871,0.995 / -142.530
1.522 GHz,1.505E-6 / -53.883,0.995 / -142.541
1.522 GHz,1.506E-6 / -53.894,0.995 / -142.552
1.522 GHz,1.508E-6 / -53.905,0.995 / -142.563
1.522 GHz,1.509E-6 / -53.916,0.995 / -142.574
1.522 GHz,1.510E-6 / -53.927,0.995 / -142.585
1.523 GHz,1.511E-6 / -53.939,0.995 / -142.597
1.523 GHz,1.512E-6 / -53.950,0.995 / -142.608
1.523 GHz,1.513E-6 / -53.961,0.995 / -142.619
1.523 GHz,1.514E-6 / -53.972,0.995 / -142.630
1.523 GHz,1.515E-6 / -53.983,0.995 / -142.641
1.523 GHz,1.516E-6 / -53.995,0.995 / -142.652
1.523 GHz,1.517E-6 / -54.006,0.995 / -142.663
1.523 GHz,1.518E-6 / -54.017,0.995 / -142.675
1.523 GHz,1.519E-6 / -54.028,0.995 / -142.686
1.524 GHz,1.520E-6 / -54.039,0.995 / -142.697
1.524 GHz,1.522E-6 / -54.051,0.995 / -142.708
1.524 GHz,1.523E-6 / -54.062,0.995 / -142.719
1.524 GHz,1.524E-6 / -54.073,0.995 / -142.730
1.524 GHz,1.525E-6 / -54.084,0.995 / -142.741
1.524 GHz,1.526E-6 / -54.095,0.995 / -142.753
1.524 GHz,1.527E-6 / -54.107,0.995 / -142.764
1.524 GHz,1.528E-6 / -54.118,0.995 / -142.775
1.524 GHz,1.529E-6 / -54.129,0.995 / -142.786
1.524 GHz,1.530E-6 / -54.140,0.995 / -142.797
1.524 GHz,1.531E-6 / -54.151,0.995 / -142.808
1.525 GHz,1.532E-6 / -54.163,0.995 / -142.820
1.525 GHz,1.533E-6 / -54.174,0.995 / -142.831
1.525 GHz,1.535E-6 / -54.185,0.995 / -142.842
1.525 GHz,1.536E-6 / -54.196,0.995 / -142.853
1.525 GHz,1.537E-6 / -54.207,0.995 / -142.864
1.525 GHz,1.538E-6 / -54.219,0.995 / -142.875
1.525 GHz,1.539E-6 / -54.230,0.995 / -142.886
1.525 GHz,1.540E-6 / -54.241,0.995 / -142.898
1.525 GHz,1.541E-6 / -54.252,0.995 / -142.909
1.526 GHz,1.542E-6 / -54.264,0.995 / -142.920
1.526 GHz,1.543E-6 / -54.275,0.995 / -142.931
1.526 GHz,1.544E-6 / -54.286,0.995 / -142.942
1.526 GHz,1.545E-6 / -54.297,0.995 / -142.953
1.526 GHz,1.547E-6 / -54.308,0.995 / -142.965
1.526 GHz,1.548E-6 / -54.320,0.995 / -142.976
1.526 GHz,1.549E-6 / -54.331,0.995 / -142.987
1.526 GHz,1.550E-6 / -54.342,0.995 / -142.998
1.526 GHz,1.551E-6 / -54.353,0.995 / -143.009
1.526 GHz,1.552E-6 / -54.365,0.995 / -143.020
1.526 GHz,1.553E-6 / -54.376,0.995 / -143.032
1.527 GHz,1.554E-6 / -54.387,0.995 / -143.043
1.527 GHz,1.555E-6 / -54.398,0.995 / -143.054
1.527 GHz,1.557E-6 / -54.409,0.995 / -143.065
1.527 GHz,1.558E-6 / -54.421,0.995 / -143.076
