"freq
References : ['S(1,1)','S(2,1)']
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
1.510 GHz,0.994 / -151.546,6.221E-8 / -62.602
1.510 GHz,0.994 / -151.560,6.225E-8 / -62.616
1.510 GHz,0.994 / -151.574,6.229E-8 / -62.630
1.510 GHz,0.994 / -151.588,6.234E-8 / -62.644
1.510 GHz,0.994 / -151.601,6.238E-8 / -62.657
1.510 GHz,0.994 / -151.615,6.242E-8 / -62.671
1.510 GHz,0.994 / -151.629,6.247E-8 / -62.685
1.510 GHz,0.994 / -151.643,6.251E-8 / -62.699
1.510 GHz,0.994 / -151.657,6.255E-8 / -62.713
1.511 GHz,0.994 / -151.670,6.259E-8 / -62.727
1.511 GHz,0.994 / -151.684,6.264E-8 / -62.741
1.511 GHz,0.994 / -151.698,6.268E-8 / -62.754
1.511 GHz,0.994 / -151.712,6.272E-8 / -62.768
1.511 GHz,0.994 / -151.726,6.276E-8 / -62.782
1.511 GHz,0.994 / -151.739,6.281E-8 / -62.796
1.511 GHz,0.994 / -151.753,6.285E-8 / -62.810
1.511 GHz,0.994 / -151.767,6.289E-8 / -62.824
1.511 GHz,0.994 / -151.781,6.294E-8 / -62.837
1.512 GHz,0.994 / -151.795,6.298E-8 / -62.851
1.512 GHz,0.994 / -151.808,6.302E-8 / -62.865
1.512 GHz,0.994 / -151.822,6.307E-8 / -62.879
1.512 GHz,0.994 / -151.836,6.311E-8 / -62.893
1.512 GHz,0.994 / -151.850,6.315E-8 / -62.907
1.512 GHz,0.994 / -151.864,6.320E-8 / -62.921
1.512 GHz,0.994 / -151.877,6.324E-8 / -62.934
1.512 GHz,0.994 / -151.891,6.328E-8 / -62.948
1.512 GHz,0.994 / -151.905,6.333E-8 / -62.962
1.512 GHz,0.994 / -151.919,6.337E-8 / -62.976
1.512 GHz,0.994 / -151.933,6.341E-8 / -62.990
1.513 GHz,0.994 / -151.946,6.346E-8 / -63.004
1.513 GHz,0.994 / -151.960,6.350E-8 / -63.018
1.513 GHz,0.994 / -151.974,6.354E-8 / -63.031
1.513 GHz,0.994 / -151.988,6.359E-8 / -63.045
1.513 GHz,0.994 / -152.002,6.363E-8 / -63.059
1.513 GHz,0.994 / -152.015,6.367E-8 / -63.073
1.513 GHz,0.994 / -152.029,6.372E-8 / -63.087
1.513 GHz,0.994 / -152.043,6.376E-8 / -63.101
1.513 GHz,0.994 / -152.057,6.381E-8 / -63.115
1.514 GHz,0.994 / -152.071,6.385E-8 / -63.128
1.514 GHz,0.994 / -152.084,6.389E-8 / -63.142
1.514 GHz,0.994 / -152.098,6.394E-8 / -63.156
1.514 GHz,0.994 / -152.112,6.398E-8 / -63.170
1.514 GHz,0.994 / -152.126,6.402E-8 / -63.184
1.514 GHz,0.994 / -152.140,6.407E-8 / -63.198
1.514 GHz,0.994 / -152.153,6.411E-8 / -63.212
1.514 GHz,0.994 / -152.167,6.416E-8 / -63.225
1.514 GHz,0.994 / -152.181,6.420E-8 / -63.239
1.514 GHz,0.994 / -152.195,6.424E-8 / -63.253
1.514 GHz,0.994 / -152.209,6.429E-8 / -63.267
1.515 GHz,0.994 / -152.223,6.433E-8 / -63.281
1.515 GHz,0.994 / -152.236,6.438E-8 / -63.295
1.515 GHz,0.994 / -152.250,6.442E-8 / -63.309
1.515 GHz,0.994 / -152.264,6.447E-8 / -63.322
1.515 GHz,0.994 / -152.278,6.451E-8 / -63.336
1.515 GHz,0.994 / -152.292,6.455E-8 / -63.350
1.515 GHz,0.994 / -152.305,6.460E-8 / -63.364
1.515 GHz,0.994 / -152.319,6.464E-8 / -63.378
1.515 GHz,0.994 / -152.333,6.469E-8 / -63.392
1.516 GHz,0.994 / -152.347,6.473E-8 / -63.406
1.516 GHz,0.994 / -152.361,6.478E-8 / -63.420
1.516 GHz,0.994 / -152.374,6.482E-8 / -63.433
1.516 GHz,0.994 / -152.388,6.487E-8 / -63.447
1.516 GHz,0.994 / -152.402,6.491E-8 / -63.461
1.516 GHz,0.994 / -152.416,6.495E-8 / -63.475
1.516 GHz,0.994 / -152.430,6.500E-8 / -63.489
1.516 GHz,0.994 / -152.444,6.504E-8 / -63.503
1.516 GHz,0.994 / -152.457,6.509E-8 / -63.517
1.516 GHz,0.994 / -152.471,6.513E-8 / -63.530
1.516 GHz,0.994 / -152.485,6.518E-8 / -63.544
1.517 GHz,0.994 / -152.499,6.522E-8 / -63.558
1.517 GHz,0.994 / -152.513,6.527E-8 / -63.572
1.517 GHz,0.994 / -152.526,6.531E-8 / -63.586
1.517 GHz,0.994 / -152.540,6.536E-8 / -63.600
1.517 GHz,0.994 / -152.554,6.540E-8 / -63.614
1.517 GHz,0.994 / -152.568,6.545E-8 / -63.628
1.517 GHz,0.994 / -152.582,6.549E-8 / -63.641
1.517 GHz,0.994 / -152.596,6.554E-8 / -63.655
1.517 GHz,0.994 / -152.609,6.558E-8 / -63.669
1.518 GHz,0.994 / -152.623,6.563E-8 / -63.683
1.518 GHz,0.994 / -152.637,6.567E-8 / -63.697
1.518 GHz,0.994 / -152.651,6.572E-8 / -63.711
1.518 GHz,0.994 / -152.665,6.576E-8 / -63.725
1.518 GHz,0.994 / -152.678,6.581E-8 / -63.739
1.518 GHz,0.994 / -152.692,6.585E-8 / -63.752
1.518 GHz,0.994 / -152.706,6.590E-8 / -63.766
1.518 GHz,0.994 / -152.720,6.595E-8 / -63.780
1.518 GHz,0.994 / -152.734,6.599E-8 / -63.794
1.518 GHz,0.994 / -152.748,6.604E-8 / -63.808
1.518 GHz,0.994 / -152.761,6.608E-8 / -63.822
1.519 GHz,0.994 / -152.775,6.613E-8 / -63.836
1.519 GHz,0.994 / -152.789,6.617E-8 / -63.850
1.519 GHz,0.994 / -152.803,6.622E-8 / -63.863
1.519 GHz,0.994 / -152.817,6.626E-8 / -63.877
1.519 GHz,0.994 / -152.831,6.631E-8 / -63.891
1.519 GHz,0.994 / -152.844,6.636E-8 / -63.905
1.519 GHz,0.994 / -152.858,6.640E-8 / -63.919
1.519 GHz,0.994 / -152.872,6.645E-8 / -63.933
1.519 GHz,0.994 / -152.886,6.649E-8 / -63.947
1.520 GHz,0.994 / -152.900,6.654E-8 / -63.961
1.520 GHz,0.994 / -152.914,6.658E-8 / -63.974
1.520 GHz,0.994 / -152.927,6.663E-8 / -63.988
1.520 GHz,0.994 / -152.941,6.668E-8 / -64.002
1.520 GHz,0.994 / -152.955,6.672E-8 / -64.016
1.520 GHz,0.994 / -152.969,6.677E-8 / -64.030
1.520 GHz,0.994 / -152.983,6.681E-8 / -64.044
1.520 GHz,0.994 / -152.997,6.686E-8 / -64.058
1.520 GHz,0.994 / -153.010,6.691E-8 / -64.072
1.520 GHz,0.994 / -153.024,6.695E-8 / -64.086
1.520 GHz,0.994 / -153.038,6.700E-8 / -64.099
1.521 GHz,0.994 / -153.052,6.705E-8 / -64.113
1.521 GHz,0.994 / -153.066,6.709E-8 / -64.127
1.521 GHz,0.994 / -153.080,6.714E-8 / -64.141
1.521 GHz,0.994 / -153.093,6.718E-8 / -64.155
1.521 GHz,0.994 / -153.107,6.723E-8 / -64.169
1.521 GHz,0.994 / -153.121,6.728E-8 / -64.183
1.521 GHz,0.994 / -153.135,6.732E-8 / -64.197
1.521 GHz,0.994 / -153.149,6.737E-8 / -64.210
1.521 GHz,0.994 / -153.163,6.742E-8 / -64.224
1.522 GHz,0.994 / -153.176,6.746E-8 / -64.238
1.522 GHz,0.994 / -153.190,6.751E-8 / -64.252
1.522 GHz,0.994 / -153.204,6.756E-8 / -64.266
1.522 GHz,0.994 / -153.218,6.760E-8 / -64.280
1.522 GHz,0.994 / -153.232,6.765E-8 / -64.294
1.522 GHz,0.994 / -153.246,6.770E-8 / -64.308
1.522 GHz,0.994 / -153.259,6.774E-8 / -64.322
1.522 GHz,0.994 / -153.273,6.779E-8 / -64.335
1.522 GHz,0.994 / -153.287,6.784E-8 / -64.349
1.522 GHz,0.994 / -153.301,6.788E-8 / -64.363
1.522 GHz,0.994 / -153.315,6.793E-8 / -64.377
1.523 GHz,0.994 / -153.329,6.798E-8 / -64.391
1.523 GHz,0.994 / -153.342,6.803E-8 / -64.405
1.523 GHz,0.994 / -153.356,6.807E-8 / -64.419
