x-axis,1,2,3
second,Volt,Volt,Volt
+560.2000E-03,,,
+560.3000E-03,+17.6884423E+00,+733.6683E-03,+834.1708E-03
+560.4000E-03,+17.6884423E+00,+653.2663E-03,+592.9648E-03
+560.5000E-03,+17.6884423E+00,+643.2161E-03,+562.8141E-03
+560.6000E-03,+17.6884423E+00,+643.2161E-03,+492.4623E-03
+560.7000E-03,+17.6884423E+00,+849.2462E-03,+482.4121E-03
+560.8000E-03,+17.6884423E+00,+1.0201005E+00,+547.7387E-03
+560.9000E-03,+17.6884423E+00,+1.6733668E+00,+492.4623E-03
+561.0000E-03,+17.6884423E+00,+1.9045226E+00,+547.7387E-03
+561.1000E-03,+17.6884423E+00,+2.3467336E+00,+562.8141E-03
+561.2000E-03,+17.6884423E+00,+2.8994975E+00,+562.8141E-03
+561.3000E-03,+17.6884423E+00,+3.3216080E+00,+492.4623E-03
+561.4000E-03,+17.5125630E+00,+3.7939698E+00,+482.4121E-03
+561.5000E-03,+17.6507539E+00,+4.0653266E+00,+482.4121E-03
+561.6000E-03,+17.6884423E+00,+4.3768844E+00,+547.7387E-03
+561.7000E-03,+17.6884423E+00,+4.5577889E+00,+628.1407E-03
+561.8000E-03,+17.6884423E+00,+4.7889447E+00,+919.5980E-03
+561.9000E-03,+17.6884423E+00,+4.8241206E+00,+1.4522613E+00
+562.0000E-03,+17.6884423E+00,+4.8241206E+00,+1.8743718E+00
+562.1000E-03,+17.6884423E+00,+4.8241206E+00,+2.5577889E+00
+562.2000E-03,+17.8517589E+00,+4.8241206E+00,+2.9296482E+00
+562.3000E-03,+17.7135680E+00,+4.8241206E+00,+3.3216080E+00
+562.4000E-03,+17.6884423E+00,+4.8241206E+00,+3.6532663E+00
+562.5000E-03,+17.6884423E+00,+4.8241206E+00,+3.9045226E+00
+562.6000E-03,+17.6884423E+00,+4.8241206E+00,+4.3567839E+00
+562.7000E-03,+17.6884423E+00,+4.8241206E+00,+4.4874371E+00
+562.8000E-03,+17.6884423E+00,+4.8241206E+00,+4.7788944E+00
+562.9000E-03,+17.6884423E+00,+4.8241206E+00,+4.8241206E+00
+563.0000E-03,+17.5125630E+00,+4.8241206E+00,+4.8894472E+00
+563.1000E-03,+17.6507539E+00,+4.8241206E+00,+4.9698492E+00
+563.2000E-03,+17.6884423E+00,+4.8241206E+00,+4.9849246E+00
+563.3000E-03,+17.6884423E+00,+4.8241206E+00,+4.9849246E+00
+563.4000E-03,+17.6884423E+00,+4.8894472E+00,+4.9849246E+00
+563.5000E-03,+17.6884423E+00,+4.8341708E+00,+4.9849246E+00
+563.6000E-03,+17.6884423E+00,+4.8241206E+00,+4.9849246E+00
+563.7000E-03,+17.6884423E+00,+4.6130653E+00,+4.9849246E+00
+563.8000E-03,+17.6884423E+00,+4.3015075E+00,+4.9849246E+00
+563.9000E-03,+17.6884423E+00,+3.6281407E+00,+4.9849246E+00
+564.0000E-03,+17.6884423E+00,+3.3969849E+00,+4.9849246E+00
+564.1000E-03,+17.6884423E+00,+2.8140703E+00,+4.9849246E+00
+564.2000E-03,+17.6884423E+00,+2.3819095E+00,+4.9849246E+00
+564.3000E-03,+17.6884423E+00,+1.6984924E+00,+4.9849246E+00
+564.4000E-03,+17.6884423E+00,+1.2562814E+00,+4.9849246E+00
+564.5000E-03,+17.6884423E+00,+994.9749E-03,+4.9145728E+00
+564.6000E-03,+17.6884423E+00,+753.7688E-03,+4.6934673E+00
+564.7000E-03,+17.6884423E+00,+723.6181E-03,+4.3819095E+00
+564.8000E-03,+17.6884423E+00,+653.2663E-03,+3.8492462E+00
+564.9000E-03,+17.6884423E+00,+572.8643E-03,+3.4271356E+00
+565.0000E-03,+17.5125630E+00,+562.8141E-03,+3.3065326E+00
+565.1000E-03,+17.6507539E+00,+628.1407E-03,+2.8743718E+00
+565.2000E-03,+17.6884423E+00,+643.2161E-03,+2.3216080E+00
+565.3000E-03,+17.6884423E+00,+572.8643E-03,+1.8994975E+00
+565.4000E-03,+17.6884423E+00,+628.1407E-03,+1.6381909E+00
+565.5000E-03,+17.6884423E+00,+849.2462E-03,+1.1155779E+00
+565.6000E-03,+17.6884423E+00,+1.0201005E+00,+974.8744E-03
+565.7000E-03,+17.6884423E+00,+1.6030151E+00,+683.4171E-03
+565.8000E-03,+17.6884423E+00,+1.8241206E+00,+572.8643E-03
+565.9000E-03,+17.6884423E+00,+2.6180904E+00,+562.8141E-03
+566.0000E-03,+17.6884423E+00,+3.0804020E+00,+492.4623E-03
+566.1000E-03,+17.6884423E+00,+3.4824120E+00,+482.4121E-03
+566.2000E-03,+17.6884423E+00,+3.9547738E+00,+482.4121E-03
+566.3000E-03,+17.6884423E+00,+4.1557788E+00,+482.4121E-03
+566.4000E-03,+17.6884423E+00,+4.3165829E+00,+547.7387E-03
+566.5000E-03,+17.6884423E+00,+4.5477386E+00,+562.8141E-03
+566.6000E-03,+17.6884423E+00,+4.6482412E+00,+562.8141E-03
+566.7000E-03,+17.6884423E+00,+4.7989949E+00,+562.8141E-03
+566.8000E-03,+17.5125630E+00,+4.8241206E+00,+492.4623E-03
+566.9000E-03,+17.6507539E+00,+4.8241206E+00,+547.7387E-03
+567.0000E-03,+17.6884423E+00,+4.8241206E+00,+492.4623E-03
+567.1000E-03,+17.6884423E+00,+4.8241206E+00,+547.7387E-03
+567.2000E-03,+17.6884423E+00,+4.8241206E+00,+562.8141E-03
+567.3000E-03,+17.6884423E+00,+4.8241206E+00,+628.1407E-03
+567.4000E-03,+17.6884423E+00,+4.8241206E+00,+1.0603015E+00
+567.5000E-03,+17.6884423E+00,+4.8241206E+00,+1.5427136E+00
+567.6000E-03,+17.6884423E+00,+4.8241206E+00,+1.9547738E+00
+567.7000E-03,+17.6884423E+00,+4.8894472E+00,+2.3567839E+00
+567.8000E-03,+17.6884423E+00,+4.8341708E+00,+2.7587939E+00
+567.9000E-03,+17.6884423E+00,+4.8241206E+00,+3.4422110E+00
+568.0000E-03,+17.6884423E+00,+4.8241206E+00,+3.7437186E+00
+568.1000E-03,+17.6884423E+00,+4.8241206E+00,+4.1256281E+00
+568.2000E-03,+17.6884423E+00,+4.8241206E+00,+4.4572864E+00
+568.3000E-03,+17.6884423E+00,+4.8241206E+00,+4.7085427E+00
+568.4000E-03,+17.6884423E+00,+4.7537688E+00,+4.8090452E+00
+568.5000E-03,+17.6884423E+00,+4.6030150E+00,+4.8241206E+00
+568.6000E-03,+17.6884423E+00,+4.2311557E+00,+4.8894472E+00
+568.7000E-03,+17.6884423E+00,+3.3366834E+00,+4.9698492E+00
+568.8000E-03,+17.6884423E+00,+2.8643216E+00,+4.9849246E+00
+568.9000E-03,+17.6884423E+00,+2.6030150E+00,+4.9849246E+00
+569.0000E-03,+17.6884423E+00,+2.1507537E+00,+4.9849246E+00
+569.1000E-03,+17.6884423E+00,+1.9497487E+00,+4.9849246E+00
+569.2000E-03,+17.6884423E+00,+1.5075377E+00,+4.9849246E+00
+569.3000E-03,+17.5125630E+00,+1.2361809E+00,+4.9145728E+00
+569.4000E-03,+17.6507539E+00,+924.6231E-03,+4.9698492E+00
+569.5000E-03,+17.6884423E+00,+743.7186E-03,+5.0502512E+00
+569.6000E-03,+17.6884423E+00,+653.2663E-03,+4.9949748E+00
+569.7000E-03,+17.6884423E+00,+643.2161E-03,+4.9849246E+00
+569.8000E-03,+17.6884423E+00,+643.2161E-03,+4.9849246E+00
+569.9000E-03,+17.5125630E+00,+643.2161E-03,+4.9849246E+00
+570.0000E-03,+17.6507539E+00,+572.8643E-03,+4.8442211E+00
+570.1000E-03,+17.6884423E+00,+628.1407E-03,+4.4020100E+00
+570.2000E-03,+17.6884423E+00,+643.2161E-03,+3.8492462E+00
+570.3000E-03,+17.6884423E+00,+643.2161E-03,+3.4271356E+00
+570.4000E-03,+17.6884423E+00,+708.5427E-03,+3.0251256E+00
+570.5000E-03,+17.6884423E+00,+653.2663E-03,+2.6231155E+00
+570.6000E-03,+17.6884423E+00,+643.2161E-03,+2.3618090E+00
+570.7000E-03,+17.6884423E+00,+643.2161E-03,+1.9095477E+00
