x-axis,1,2,3
second,Volt,Volt,Volt
+960.2000E-03,,,
+960.3000E-03,+17.7135680E+00,+643.2161E-03,+2.9246231E+00
+960.4000E-03,+17.5125630E+00,+643.2161E-03,+2.6834171E+00
+960.5000E-03,+17.6507539E+00,+572.8643E-03,+2.3015075E+00
+960.6000E-03,+17.6884423E+00,+628.1407E-03,+2.1105527E+00
+960.7000E-03,+17.6884423E+00,+643.2161E-03,+1.7386934E+00
+960.8000E-03,+17.6884423E+00,+643.2161E-03,+1.4070352E+00
+960.9000E-03,+17.6884423E+00,+643.2161E-03,+1.2261306E+00
+961.0000E-03,+17.6884423E+00,+643.2161E-03,+994.9749E-03
+961.1000E-03,+17.6884423E+00,+643.2161E-03,+964.8241E-03
+961.2000E-03,+17.6884423E+00,+643.2161E-03,+894.4724E-03
+961.3000E-03,+17.6884423E+00,+643.2161E-03,+884.4221E-03
+961.4000E-03,+17.6884423E+00,+643.2161E-03,+884.4221E-03
+961.5000E-03,+17.6884423E+00,+643.2161E-03,+814.0703E-03
+961.6000E-03,+17.5125630E+00,+778.8945E-03,+869.3467E-03
+961.7000E-03,+17.6507539E+00,+1.0100502E+00,+884.4221E-03
+961.8000E-03,+17.6884423E+00,+1.3216080E+00,+884.4221E-03
+961.9000E-03,+17.6884423E+00,+1.8542713E+00,+884.4221E-03
+962.0000E-03,+17.6884423E+00,+2.5577889E+00,+949.7487E-03
+962.1000E-03,+17.6884423E+00,+3.1407035E+00,+964.8241E-03
+962.2000E-03,+17.6884423E+00,+3.6331658E+00,+964.8241E-03
+962.3000E-03,+17.6884423E+00,+4.0452261E+00,+1.0301507E+00
+962.4000E-03,+17.6884423E+00,+4.3065326E+00,+1.1809045E+00
+962.5000E-03,+17.6884423E+00,+4.4773869E+00,+1.2713568E+00
+962.6000E-03,+17.6884423E+00,+4.6381909E+00,+1.3517588E+00
+962.7000E-03,+17.5125630E+00,+4.7286432E+00,+1.6432161E+00
+962.8000E-03,+17.6507539E+00,+4.7437185E+00,+1.8944723E+00
+962.9000E-03,+17.6884423E+00,+4.8090452E+00,+2.4170854E+00
+963.0000E-03,+17.6884423E+00,+4.8241206E+00,+2.8391959E+00
+963.1000E-03,+17.6884423E+00,+4.8241206E+00,+3.3115578E+00
+963.2000E-03,+17.6884423E+00,+4.8241206E+00,+3.6532663E+00
+963.3000E-03,+17.6884423E+00,+4.8241206E+00,+3.9748743E+00
+963.4000E-03,+17.6884423E+00,+4.8241206E+00,+4.3668341E+00
+963.5000E-03,+17.6884423E+00,+4.8241206E+00,+4.5577889E+00
+963.6000E-03,+17.6884423E+00,+4.8241206E+00,+4.7185929E+00
+963.7000E-03,+17.6884423E+00,+4.8241206E+00,+4.8793969E+00
+963.8000E-03,+17.6884423E+00,+4.8241206E+00,+4.9045226E+00
+963.9000E-03,+17.6884423E+00,+4.8241206E+00,+4.9045226E+00
+964.0000E-03,+17.6884423E+00,+4.8241206E+00,+4.9698492E+00
+964.1000E-03,+17.6884423E+00,+4.8241206E+00,+4.9849246E+00
+964.2000E-03,+17.6884423E+00,+4.8241206E+00,+4.9849246E+00
+964.3000E-03,+17.6884423E+00,+4.8241206E+00,+4.9849246E+00
+964.4000E-03,+17.6884423E+00,+4.7537688E+00,+4.9849246E+00
+964.5000E-03,+17.6884423E+00,+4.4623115E+00,+4.9849246E+00
+964.6000E-03,+17.6884423E+00,+4.0703517E+00,+4.9849246E+00
+964.7000E-03,+17.6884423E+00,+3.5276382E+00,+4.9849246E+00
+964.8000E-03,+17.6884423E+00,+2.9648241E+00,+4.9849246E+00
+964.9000E-03,+17.6884423E+00,+2.2613065E+00,+4.9849246E+00
+965.0000E-03,+17.6884423E+00,+1.8190955E+00,+4.9849246E+00
