x-axis,1,2,3
second,Volt,Volt,Volt
+1.9602000E+00,,,
+1.9603000E+00,+17.6884423E+00,+4.8241206E+00,+613.0653E-03
+1.9604000E+00,+17.6884423E+00,+4.8241206E+00,+854.2713E-03
+1.9605000E+00,+17.6884423E+00,+4.8241206E+00,+1.0251256E+00
+1.9606000E+00,+17.6884423E+00,+4.8241206E+00,+1.4673367E+00
+1.9607000E+00,+17.6884423E+00,+4.8241206E+00,+2.0201005E+00
+1.9608000E+00,+17.6884423E+00,+4.8241206E+00,+2.4422110E+00
+1.9609000E+00,+17.6884423E+00,+4.8241206E+00,+3.1959799E+00
+1.9610000E+00,+17.6884423E+00,+4.8241206E+00,+3.5075377E+00
+1.9611000E+00,+17.6884423E+00,+4.8241206E+00,+3.9597990E+00
+1.9612000E+00,+17.6884423E+00,+4.8241206E+00,+4.4422110E+00
+1.9613000E+00,+17.6884423E+00,+4.8241206E+00,+4.6432160E+00
+1.9614000E+00,+17.6884423E+00,+4.7487437E+00,+4.8040200E+00
+1.9615000E+00,+17.6884423E+00,+4.5276381E+00,+4.8944723E+00
+1.9616000E+00,+17.6884423E+00,+3.8643216E+00,+4.9045226E+00
+1.9617000E+00,+17.6884423E+00,+3.2864321E+00,+4.9748743E+00
+1.9618000E+00,+17.6884423E+00,+3.0050251E+00,+4.9849246E+00
+1.9619000E+00,+17.6884423E+00,+2.4824120E+00,+4.9849246E+00
+1.9620000E+00,+17.6884423E+00,+1.9195980E+00,+4.9849246E+00
+1.9621000E+00,+17.6884423E+00,+1.6381909E+00,+4.9849246E+00
+1.9622000E+00,+17.6884423E+00,+1.1155779E+00,+4.9849246E+00
+1.9623000E+00,+17.6884423E+00,+974.8744E-03,+4.9849246E+00
+1.9624000E+00,+17.6884423E+00,+753.7688E-03,+4.9849246E+00
+1.9625000E+00,+17.6884423E+00,+653.2663E-03,+4.9849246E+00
+1.9626000E+00,+17.6884423E+00,+643.2161E-03,+4.9849246E+00
+1.9627000E+00,+17.6884423E+00,+572.8643E-03,+4.9849246E+00
+1.9628000E+00,+17.6884423E+00,+562.8141E-03,+4.9849246E+00
+1.9629000E+00,+17.6884423E+00,+628.1407E-03,+4.7738693E+00
+1.9630000E+00,+17.6884423E+00,+643.2161E-03,+4.3919598E+00
+1.9631000E+00,+17.6884423E+00,+643.2161E-03,+3.6381909E+00
+1.9632000E+00,+17.6884423E+00,+643.2161E-03,+3.3969849E+00
+1.9633000E+00,+17.6884423E+00,+643.2161E-03,+3.0251256E+00
+1.9634000E+00,+17.6884423E+00,+643.2161E-03,+2.2713568E+00
+1.9635000E+00,+17.6884423E+00,+643.2161E-03,+1.8894472E+00
+1.9636000E+00,+17.6884423E+00,+643.2161E-03,+1.4974874E+00
+1.9637000E+00,+17.6884423E+00,+643.2161E-03,+1.3065326E+00
+1.9638000E+00,+17.6884423E+00,+643.2161E-03,+1.0050251E+00
+1.9639000E+00,+17.6884423E+00,+643.2161E-03,+894.4724E-03
+1.9640000E+00,+17.6884423E+00,+643.2161E-03,+673.3668E-03
+1.9641000E+00,+17.6884423E+00,+643.2161E-03,+502.5126E-03
