x-axis,1,2,3
second,Volt,Volt,Volt
+1.3602000E+00,,,
+1.3603000E+00,+17.7135680E+00,+643.2161E-03,+1.2361809E+00
+1.3604000E+00,+17.5125630E+00,+643.2161E-03,+994.9749E-03
+1.3605000E+00,+17.6507539E+00,+643.2161E-03,+824.1206E-03
+1.3606000E+00,+17.6884423E+00,+643.2161E-03,+663.3166E-03
+1.3607000E+00,+17.6884423E+00,+708.5427E-03,+572.8643E-03
+1.3608000E+00,+17.6884423E+00,+859.2965E-03,+492.4623E-03
+1.3609000E+00,+17.6884423E+00,+949.7487E-03,+482.4121E-03
+1.3610000E+00,+17.6884423E+00,+1.4522613E+00,+482.4121E-03
+1.3611000E+00,+17.6884423E+00,+1.8743718E+00,+547.7387E-03
+1.3612000E+00,+17.6884423E+00,+2.4170854E+00,+562.8141E-03
+1.3613000E+00,+17.6884423E+00,+3.0502512E+00,+492.4623E-03
+1.3614000E+00,+17.6884423E+00,+3.3417085E+00,+482.4121E-03
+1.3615000E+00,+17.6884423E+00,+3.6532663E+00,+547.7387E-03
+1.3616000E+00,+17.6884423E+00,+4.1155778E+00,+492.4623E-03
+1.3617000E+00,+17.6884423E+00,+4.5276381E+00,+482.4121E-03
+1.3618000E+00,+17.6884423E+00,+4.5829145E+00,+482.4121E-03
+1.3619000E+00,+17.6884423E+00,+4.7185929E+00,+618.0904E-03
+1.3620000E+00,+17.6884423E+00,+4.7437185E+00,+778.8945E-03
+1.3621000E+00,+17.6884423E+00,+4.7437185E+00,+1.0100502E+00
+1.3622000E+00,+17.6884423E+00,+4.8090452E+00,+1.8140703E+00
+1.3623000E+00,+17.6884423E+00,+4.8241206E+00,+2.4874372E+00
+1.3624000E+00,+17.6884423E+00,+4.8241206E+00,+2.7788944E+00
+1.3625000E+00,+17.6884423E+00,+4.8241206E+00,+3.3718593E+00
+1.3626000E+00,+17.6884423E+00,+4.8241206E+00,+3.8040201E+00
+1.3627000E+00,+17.6884423E+00,+4.8241206E+00,+4.1356783E+00
+1.3628000E+00,+17.6884423E+00,+4.8241206E+00,+4.4572864E+00
+1.3629000E+00,+17.6884423E+00,+4.8241206E+00,+4.6381909E+00
+1.3630000E+00,+17.6884423E+00,+4.8241206E+00,+4.7286432E+00
+1.3631000E+00,+17.6884423E+00,+4.8241206E+00,+4.8793969E+00
+1.3632000E+00,+17.6884423E+00,+4.8241206E+00,+4.9045226E+00
