x-axis,1,2,3
second,Volt,Volt,Volt
+360.2000E-03,,,
+360.3000E-03,+17.6884423E+00,+1.3819095E+00,+562.8141E-03
+360.4000E-03,+17.6884423E+00,+1.8643216E+00,+562.8141E-03
+360.5000E-03,+17.6884423E+00,+2.2763819E+00,+562.8141E-03
+360.6000E-03,+17.6884423E+00,+2.8190954E+00,+492.4623E-03
+360.7000E-03,+17.6884423E+00,+3.4522613E+00,+482.4121E-03
+360.8000E-03,+17.6884423E+00,+3.8844221E+00,+482.4121E-03
+360.9000E-03,+17.6884423E+00,+4.1457286E+00,+547.7387E-03
+361.0000E-03,+17.6884423E+00,+4.4572864E+00,+562.8141E-03
+361.1000E-03,+17.6884423E+00,+4.7085427E+00,+698.4925E-03
+361.2000E-03,+17.6884423E+00,+4.7437185E+00,+1.0000000E+00
+361.3000E-03,+17.6884423E+00,+4.8090452E+00,+1.2512563E+00
+361.4000E-03,+17.6884423E+00,+4.7537688E+00,+1.6331658E+00
+361.5000E-03,+17.6884423E+00,+4.8090452E+00,+2.1055276E+00
+361.6000E-03,+17.6884423E+00,+4.7537688E+00,+2.3065326E+00
+361.7000E-03,+17.6884423E+00,+4.8090452E+00,+2.8190954E+00
+361.8000E-03,+17.6884423E+00,+4.8241206E+00,+3.4522613E+00
+361.9000E-03,+17.6884423E+00,+4.8241206E+00,+3.6733668E+00
+362.0000E-03,+17.6884423E+00,+4.8241206E+00,+4.0452261E+00
+362.1000E-03,+17.6884423E+00,+4.8894472E+00,+4.3768844E+00
+362.2000E-03,+17.6884423E+00,+4.8341708E+00,+4.5577889E+00
+362.3000E-03,+17.6884423E+00,+4.8241206E+00,+4.7185929E+00
+362.4000E-03,+17.6884423E+00,+4.8241206E+00,+4.8793969E+00
+362.5000E-03,+17.6884423E+00,+4.8241206E+00,+4.9698492E+00
+362.6000E-03,+17.6884423E+00,+4.8241206E+00,+4.9145728E+00
+362.7000E-03,+17.6884423E+00,+4.8241206E+00,+4.9698492E+00
+362.8000E-03,+17.6884423E+00,+4.8894472E+00,+4.9849246E+00
+362.9000E-03,+17.6884423E+00,+4.8341708E+00,+4.9849246E+00
+363.0000E-03,+17.5125630E+00,+4.8241206E+00,+4.9849246E+00
+363.1000E-03,+17.6507539E+00,+4.7537688E+00,+4.9849246E+00
+363.2000E-03,+17.6884423E+00,+4.6733668E+00,+4.9849246E+00
+363.3000E-03,+17.5125630E+00,+4.5226130E+00,+4.9849246E+00
+363.4000E-03,+17.6507539E+00,+4.0804020E+00,+4.9849246E+00
+363.5000E-03,+17.6884423E+00,+3.3869346E+00,+4.9849246E+00
+363.6000E-03,+17.6884423E+00,+3.0854271E+00,+4.9849246E+00
+363.7000E-03,+17.6884423E+00,+2.3517588E+00,+4.9849246E+00
+363.8000E-03,+17.6884423E+00,+2.1809045E+00,+4.9849246E+00
+363.9000E-03,+17.6884423E+00,+1.6783919E+00,+4.9849246E+00
+364.0000E-03,+17.6884423E+00,+1.2562814E+00,+4.9849246E+00
+364.1000E-03,+17.6884423E+00,+994.9749E-03,+4.9849246E+00
+364.2000E-03,+17.6884423E+00,+824.1206E-03,+4.9145728E+00
+364.3000E-03,+17.6884423E+00,+663.3166E-03,+4.8341708E+00
+364.4000E-03,+17.6884423E+00,+643.2161E-03,+4.6834170E+00
+364.5000E-03,+17.6884423E+00,+643.2161E-03,+4.3819095E+00
+364.6000E-03,+17.6884423E+00,+643.2161E-03,+4.1306532E+00
+364.7000E-03,+17.6884423E+00,+643.2161E-03,+3.8190954E+00
+364.8000E-03,+17.6884423E+00,+643.2161E-03,+3.4974874E+00
+364.9000E-03,+17.6884423E+00,+643.2161E-03,+3.1055276E+00
+365.0000E-03,+17.6884423E+00,+643.2161E-03,+2.7035176E+00
+365.1000E-03,+17.6884423E+00,+643.2161E-03,+2.0904522E+00
+365.2000E-03,+17.6884423E+00,+708.5427E-03,+1.7989950E+00
+365.3000E-03,+17.6884423E+00,+653.2663E-03,+1.3467337E+00
+365.4000E-03,+17.6884423E+00,+643.2161E-03,+1.0753769E+00
+365.5000E-03,+17.6884423E+00,+643.2161E-03,+834.1708E-03
+365.6000E-03,+17.6884423E+00,+919.5980E-03,+663.3166E-03
+365.7000E-03,+17.6884423E+00,+964.8241E-03,+643.2161E-03
+365.8000E-03,+17.6884423E+00,+1.3115578E+00,+572.8643E-03
+365.9000E-03,+17.6884423E+00,+1.5728643E+00,+562.8141E-03
+366.0000E-03,+17.6884423E+00,+1.8140703E+00,+562.8141E-03
+366.1000E-03,+17.6884423E+00,+2.2663316E+00,+562.8141E-03
+366.2000E-03,+17.6884423E+00,+2.8894472E+00,+562.8141E-03
+366.3000E-03,+17.6884423E+00,+3.3919598E+00,+562.8141E-03
+366.4000E-03,+17.6884423E+00,+3.5929648E+00,+562.8141E-03
+366.5000E-03,+17.6884423E+00,+4.0351758E+00,+562.8141E-03
+366.6000E-03,+17.6884423E+00,+4.4472361E+00,+562.8141E-03
+366.7000E-03,+17.6884423E+00,+4.6381909E+00,+562.8141E-03
+366.8000E-03,+17.6884423E+00,+4.7286432E+00,+562.8141E-03
+366.9000E-03,+17.6884423E+00,+4.7437185E+00,+768.8442E-03
+367.0000E-03,+17.6884423E+00,+4.8090452E+00,+939.6985E-03
+367.1000E-03,+17.6884423E+00,+4.8241206E+00,+1.2412060E+00
+367.2000E-03,+17.6884423E+00,+4.8241206E+00,+1.7035176E+00
+367.3000E-03,+17.6884423E+00,+4.8241206E+00,+1.9748744E+00
+367.4000E-03,+17.6884423E+00,+4.8241206E+00,+2.7085427E+00
+367.5000E-03,+17.6884423E+00,+4.8241206E+00,+3.0201005E+00
+367.6000E-03,+17.6884423E+00,+4.8241206E+00,+3.3316583E+00
+367.7000E-03,+17.6884423E+00,+4.8241206E+00,+3.7939698E+00
+367.8000E-03,+17.6884423E+00,+4.8241206E+00,+4.0653266E+00
+367.9000E-03,+17.6884423E+00,+4.8241206E+00,+4.4472361E+00
+368.0000E-03,+17.6884423E+00,+4.8241206E+00,+4.7085427E+00
+368.1000E-03,+17.6884423E+00,+4.8241206E+00,+4.8090452E+00
+368.2000E-03,+17.8517589E+00,+4.8241206E+00,+4.8894472E+00
+368.3000E-03,+17.7135680E+00,+4.8241206E+00,+4.9045226E+00
+368.4000E-03,+17.6884423E+00,+4.8241206E+00,+4.9045226E+00
+368.5000E-03,+17.6884423E+00,+4.8241206E+00,+4.9045226E+00
+368.6000E-03,+17.6884423E+00,+4.8241206E+00,+4.9698492E+00
+368.7000E-03,+17.6884423E+00,+4.8241206E+00,+4.9849246E+00
+368.8000E-03,+17.6884423E+00,+4.7537688E+00,+4.9145728E+00
+368.9000E-03,+17.6884423E+00,+4.6030150E+00,+4.9698492E+00
+369.0000E-03,+17.6884423E+00,+4.2311557E+00,+4.9145728E+00
+369.1000E-03,+17.6884423E+00,+3.7587939E+00,+4.9698492E+00
+369.2000E-03,+17.6884423E+00,+3.3467336E+00,+4.9849246E+00
+369.3000E-03,+17.6884423E+00,+2.6633166E+00,+4.9849246E+00
+369.4000E-03,+17.6884423E+00,+2.3618090E+00,+4.9849246E+00
+369.5000E-03,+17.6884423E+00,+1.7688442E+00,+4.9849246E+00
+369.6000E-03,+17.6884423E+00,+1.5477387E+00,+4.9849246E+00
+369.7000E-03,+17.6884423E+00,+1.3165829E+00,+4.9849246E+00
