x-axis,1,2,31
second,Volt,Volt,Volt
+160.200E-03,,,
+160.300E-03,+17.688442E+00,+2.834171E+00,+4.984925E+00
+160.400E-03,+17.688442E+00,+2.673367E+00,+4.984925E+00
+160.500E-03,+17.688442E+00,+2.231156E+00,+4.984925E+00
+160.600E-03,+17.688442E+00,+1.889447E+00,+4.984925E+00
+160.700E-03,+17.688442E+00,+1.497487E+00,+4.984925E+00
+160.800E-03,+17.688442E+00,+1.306533E+00,+4.984925E+00
+160.900E-03,+17.688442E+00,+1.005025E+00,+4.984925E+00
+161.000E-03,+17.688442E+00,+964.824E-03,+4.984925E+00
+161.100E-03,+17.688442E+00,+824.121E-03,+4.984925E+00
+161.200E-03,+17.688442E+00,+733.668E-03,+4.984925E+00
+161.300E-03,+17.688442E+00,+653.266E-03,+4.984925E+00
+161.400E-03,+17.688442E+00,+572.864E-03,+4.914573E+00
+161.500E-03,+17.688442E+00,+628.141E-03,+4.904523E+00
+161.600E-03,+17.688442E+00,+643.216E-03,+4.904523E+00
+161.700E-03,+17.688442E+00,+643.216E-03,+4.763819E+00
+161.800E-03,+17.688442E+00,+643.216E-03,+4.391960E+00
+161.900E-03,+17.688442E+00,+643.216E-03,+4.060301E+00
+162.000E-03,+17.688442E+00,+643.216E-03,+3.738693E+00
+162.100E-03,+17.688442E+00,+643.216E-03,+3.276382E+00
+162.200E-03,+17.688442E+00,+643.216E-03,+3.075377E+00
+162.300E-03,+17.688442E+00,+643.216E-03,+2.773869E+00
+162.400E-03,+17.688442E+00,+643.216E-03,+2.381910E+00
+162.500E-03,+17.688442E+00,+643.216E-03,+2.120603E+00
+162.600E-03,+17.688442E+00,+643.216E-03,+2.020100E+00
+162.700E-03,+17.688442E+00,+643.216E-03,+1.658291E+00
+162.800E-03,+17.688442E+00,+643.216E-03,+1.467337E+00
+162.900E-03,+17.688442E+00,+643.216E-03,+1.236181E+00
+163.000E-03,+17.688442E+00,+643.216E-03,+994.975E-03
+163.100E-03,+17.688442E+00,+778.894E-03,+824.121E-03
+163.200E-03,+17.688442E+00,+1.010050E+00,+663.317E-03
+163.300E-03,+17.688442E+00,+1.321608E+00,+572.864E-03
+163.400E-03,+17.688442E+00,+1.572864E+00,+562.814E-03
+163.500E-03,+17.688442E+00,+1.743719E+00,+492.462E-03
+163.600E-03,+17.688442E+00,+2.185930E+00,+482.412E-03
+163.700E-03,+17.688442E+00,+2.457286E+00,+482.412E-03
+163.800E-03,+17.512563E+00,+2.768844E+00,+482.412E-03
+163.900E-03,+17.650754E+00,+2.949749E+00,+482.412E-03
+164.000E-03,+17.688442E+00,+3.321608E+00,+482.412E-03
+164.100E-03,+17.688442E+00,+3.793970E+00,+547.739E-03
+164.200E-03,+17.688442E+00,+4.065327E+00,+562.814E-03
+164.300E-03,+17.688442E+00,+4.376884E+00,+698.492E-03
+164.400E-03,+17.688442E+00,+4.628141E+00,+859.296E-03
+164.500E-03,+17.688442E+00,+4.592965E+00,+949.749E-03
+164.600E-03,+17.688442E+00,+4.718593E+00,+1.170854E+00
