#Parameters = {eR=4.7; CH=0.035; FL=16.5; FW=2.34; NotchLength=9.86; NotchWidth=1; PL=27.5; PW=40.5; SH=1.43; SL=61; SW=64; StripW=2.36; k=6.26}
#"Frequency / GHz"	"S1,1 (eR=4.7) [Magnitude]"
#---------------------------------------------
1.7999999523163	-6.4490734194379e-08
1.8013999462128	-2.4827321025379e-05
1.8028000593185	-0.0011578473440941
1.8042000532150	-0.0033617605277671
1.8056000471115	-0.0065868422442204
1.8070000410080	-0.010762767098751
1.8084000349045	-0.015803362236012
1.8098000288010	-0.021608953545689
1.8112000226974	-0.028068956804345
1.8126000165939	-0.035060710781523
1.8140000104904	-0.042454839907550
1.8154000043869	-0.050114801392115
1.8167999982834	-0.057900361481640
1.8181999921799	-0.065670856540153
1.8195999860764	-0.073286784628135
1.8209999799728	-0.080613843651625
1.8223999738693	-0.087523323159967
1.8237999677658	-0.093892555187111
1.8251999616623	-0.099614109233559
1.8265999555588	-0.10459082210202
1.8279999494553	-0.10874157544805
1.8293999433517	-0.11199986819849
1.8308000564575	-0.11431751067837
1.8322000503540	-0.11566476181523
1.8336000442505	-0.11602813013164
1.8350000381470	-0.11541335618422
1.8364000320435	-0.11384793654932
1.8378000259399	-0.11137052008206
1.8392000198364	-0.10804096587924
1.8406000137329	-0.10393039103758
1.8420000076294	-0.099127293371998
1.8434000015259	-0.093726093870067
1.8447999954224	-0.087836739880747
1.8461999893188	-0.081571942665107
1.8475999832153	-0.075050475628149
1.8489999771118	-0.068394382012709
1.8503999710083	-0.061726035533411
1.8517999649048	-0.055165954716746
1.8531999588013	-0.048830468365310
1.8545999526978	-0.042828012460995
1.8559999465942	-0.037262450605483
1.8573999404907	-0.032228511498774
1.8588000535965	-0.027806235761023
1.8602000474930	-0.024068931629288
1.8616000413895	-0.021072643018003
1.8630000352859	-0.018860136582789
1.8644000291824	-0.017462792109898
1.8658000230789	-0.016896675030301
1.8672000169754	-0.017160643099714
1.8686000108719	-0.018242423772849
1.8700000047684	-0.020114055531172
1.8713999986649	-0.022732522664856
1.8727999925613	-0.026046209507497
1.8741999864578	-0.029989983590097
1.8755999803543	-0.034486900579019
1.8769999742508	-0.039452922259113
1.8783999681473	-0.044796071805495
1.8797999620438	-0.050418190497426
1.8811999559402	-0.056216818644256
1.8825999498367	-0.062087396098823
1.8839999437332	-0.067924955668847
1.8854000568390	-0.073625891284070
1.8868000507355	-0.079088972690378
1.8882000446320	-0.084220362606132
1.8896000385284	-0.088929920981118
1.8910000324249	-0.093137793904050
1.8924000263214	-0.096773348908021
1.8938000202179	-0.099777792209462
1.8952000141144	-0.10210311747467
1.8966000080109	-0.10371523653343
1.8980000019073	-0.10459245303574
1.8993999958038	-0.10472939825805
1.9007999897003	-0.10413139217158
1.9021999835968	-0.10281781115214
1.9035999774933	-0.10082297467721
1.9049999713898	-0.098190901335885
1.9063999652863	-0.094977705815621
1.9077999591827	-0.091251096463248
1.9091999530792	-0.087083027971714
1.9105999469757	-0.082558568984721
1.9119999408722	-0.077761804031203
1.9134000539780	-0.072786707602874
1.9148000478745	-0.067723148956026
1.9162000417709	-0.062666863660999
1.9176000356674	-0.057707280336473
1.9190000295639	-0.052935415771771
1.9204000234604	-0.048435771681186
1.9218000173569	-0.044285472007479
1.9232000112534	-0.040557827656344
1.9246000051498	-0.037314252499006
1.9259999990463	-0.034608143058805
1.9273999929428	-0.032485635673020
1.9287999868393	-0.030978238022202
1.9301999807358	-0.030108688758993
1.9315999746323	-0.029886096958275
1.9329999685287	-0.030312310213652
1.9343999624252	-0.031373748710417
1.9357999563217	-0.033047988766435
1.9371999502182	-0.035301282855415
1.9385999441147	-0.038090347603598
1.9400000572205	-0.041364195750837
1.9414000511169	-0.045061359037474
1.9428000450134	-0.049115433704622
1.9442000389099	-0.053451102634479
1.9456000328064	-0.057992598457730
1.9470000267029	-0.062658842180541
1.9484000205994	-0.067366584622485
1.9498000144958	-0.072032742436252
1.9512000083923	-0.076577819447513
1.9526000022888	-0.080920547457394
1.9539999961853	-0.084986228123895
1.9553999900818	-0.088707918987490
1.9567999839783	-0.092021848017715
1.9581999778748	-0.094872298870694
1.9595999717712	-0.097213593981528
1.9609999656677	-0.099010862971718
1.9623999595642	-0.10023619116285
1.9637999534607	-0.10087590457779
1.9651999473572	-0.10092431853461
1.9665999412537	-0.10038881660812
1.9680000543594	-0.099286299439611
1.9694000482559	-0.097642992292910
1.9708000421524	-0.095496000086463
1.9722000360489	-0.092892778075402
1.9736000299454	-0.089885042288576
1.9750000238419	-0.086533371148465
1.9764000177383	-0.082905825361224
1.9778000116348	-0.079071476725160
1.9792000055313	-0.075103696940779
1.9805999994278	-0.071079144522549
1.9819999933243	-0.067072371966476
1.9833999872208	-0.063158023684561
1.9847999811172	-0.059407499866946
1.9861999750137	-0.055889840528575
1.9875999689102	-0.052668168428671
1.9889999628067	-0.049802074798056
1.9903999567032	-0.047339421078391
1.9917999505997	-0.045327286193055
1.9931999444962	-0.043798809628584
1.9946000576019	-0.042781881518209
1.9960000514984	-0.042292624074237
1.9974000453949	-0.042339351407432
1.9988000392914	-0.042921552147826
2.0002000331879	-0.044028805962066
2.0016000270844	-0.045639433786992
2.0030000209808	-0.047725725147019
2.0044000148773	-0.050252665786792
2.0058000087738	-0.053175983428672
2.0072000026703	-0.056443557791246
2.0085999965668	-0.059998091126036
2.0099999904633	-0.063781125319193
2.0113999843597	-0.067725501572213
2.0127999782562	-0.071764548882972
2.0141999721527	-0.075828105274822
2.0155999660492	-0.079848096199993
2.0169999599457	-0.083754744381439
2.0183999538422	-0.087484156860545
2.0197999477386	-0.090973755977498
2.0211999416351	-0.094165689192173
2.0225999355316	-0.097007813445457
2.0239999294281	-0.099454716849934
2.0253999233246	-0.10146871919675
2.0267999172211	-0.10302021428818
2.0281999111176	-0.10408690627915
2.0295999050140	-0.10465752119842
2.0309998989105	-0.10472955138678
2.0323998928070	-0.10430755370704
2.0337998867035	-0.10340819386028
2.0352001190186	-0.10205437474607
2.0366001129150	-0.10027869275836
2.0380001068115	-0.098120525657812
2.0394001007080	-0.095625283176589
2.0408000946045	-0.092846883756010
2.0422000885010	-0.089840771166703
2.0436000823975	-0.086666429117708
2.0450000762939	-0.083390972795920
2.0464000701904	-0.080075260145157
2.0478000640869	-0.076787189979461
2.0492000579834	-0.073588913561807
2.0506000518799	-0.070543537510644
2.0520000457764	-0.067710528498608
