#Parameters = {CH=0.035; FL=16.5; FW=2.24; NotchLength=10.47; NotchWidth=1; PL=28.027; PW=36.415; SH=1.43; SL=61; SW=64; StripW=2.24; k=6.26}
#"Frequency / GHz"	"S1,1 (NotchWidth=1) [Magnitude]"
#---------------------------------------------------
1.7999999523163	-0.0014672502138389
1.8013999462128	-0.0078583021934037
1.8028000593185	-0.015300531121147
1.8042000532150	-0.023638292803198
1.8056000471115	-0.032700635195986
1.8070000410080	-0.042304656856794
1.8084000349045	-0.052258143474386
1.8098000288010	-0.062363504770428
1.8112000226974	-0.072422384411848
1.8126000165939	-0.082239212610341
1.8140000104904	-0.091622713464682
1.8154000043869	-0.10039351837618
1.8167999982834	-0.10838390584880
1.8181999921799	-0.11544540200388
1.8195999860764	-0.12144701309563
1.8209999799728	-0.12628354768802
1.8223999738693	-0.12987054579208
1.8237999677658	-0.13215312745489
1.8251999616623	-0.13310133125670
1.8265999555588	-0.13271327391467
1.8279999494553	-0.13101547882699
1.8293999433517	-0.12805781337952
1.8308000564575	-0.12391853522090
1.8322000503540	-0.11869616141588
1.8336000442505	-0.11250909009263
1.8350000381470	-0.10549648013368
1.8364000320435	-0.097805406558169
1.8378000259399	-0.089599116974756
1.8392000198364	-0.081048300462153
1.8406000137329	-0.072321240330250
1.8420000076294	-0.063592527584803
1.8434000015259	-0.055031578170833
1.8447999954224	-0.046800398073447
1.8461999893188	-0.039052790904497
1.8475999832153	-0.031930247075392
1.8489999771118	-0.025559828656086
1.8503999710083	-0.020052086790694
1.8517999649048	-0.015500515311530
1.8531999588013	-0.011976513294896
1.8545999526978	-0.0095333361179626
1.8559999465942	-0.0082044794162458
1.8573999404907	-0.0079998139152489
1.8588000535965	-0.0089079225846195
1.8602000474930	-0.010898628191385
1.8616000413895	-0.013922054832422
1.8630000352859	-0.017907909586089
1.8644000291824	-0.022769244227456
1.8658000230789	-0.028403904121397
1.8672000169754	-0.034695574751703
1.8686000108719	-0.041516779699410
1.8700000047684	-0.048729768362584
1.8713999986649	-0.056190977313436
1.8727999925613	-0.063755338048821
1.8741999864578	-0.071273691307493
1.8755999803543	-0.078600168076751
1.8769999742508	-0.085592380356358
1.8783999681473	-0.092117839963380
1.8797999620438	-0.098052079081044
1.8811999559402	-0.10328507131964
1.8825999498367	-0.10771978255611
1.8839999437332	-0.11127715323962
1.8854000568390	-0.11389616822214
1.8868000507355	-0.11553520208025
1.8882000446320	-0.11617217369320
1.8896000385284	-0.11580656344923
1.8910000324249	-0.11445705805196
1.8924000263214	-0.11216196386397
1.8938000202179	-0.10897781919338
1.8952000141144	-0.10497947826719
1.8966000080109	-0.10025511293103
1.8980000019073	-0.094908856731817
1.8993999958038	-0.089052097212805
1.9007999897003	-0.082807509142013
1.9021999835968	-0.076302815660759
1.9035999774933	-0.069668462325929
1.9049999713898	-0.063036111810806
1.9063999652863	-0.056534401679319
1.9077999591827	-0.050289034114398
1.9091999530792	-0.044417132600314
1.9105999469757	-0.039029321489006
1.9119999408722	-0.034222352017823
1.9134000539780	-0.030082512590287
1.9148000478745	-0.026682244113875
1.9162000417709	-0.024080121297361
1.9176000356674	-0.022316530685823
1.9190000295639	-0.021418180139296
1.9204000234604	-0.021390990487007
1.9218000173569	-0.022232404573627
1.9232000112534	-0.023914275142089
1.9246000051498	-0.026399579048878
1.9259999990463	-0.029633953725852
1.9273999929428	-0.033550249533768
1.9287999868393	-0.038066515754634
1.9301999807358	-0.043093526812800
1.9315999746323	-0.048531350946901
1.9329999685287	-0.054271556544049
1.9343999624252	-0.060202655468433
1.9357999563217	-0.066209828475402
1.9371999502182	-0.072176475296131
1.9385999441147	-0.077987668509942
1.9400000572205	-0.083534228072172
