#Parameters = {CH=0.035; FL=16.5; FW=2.34; NotchLength=10.1; NotchWidth=1; PL=27.5; PW=40.5; SH=1.43; SL=61; SW=64; StripW=2.34; k=6.26}
#"Frequency / GHz"	"S1,1 (8) [Magnitude]"
#----------------------------------------
1.7999999523163	-0.059769545281778
1.8013999462128	-0.051622034356245
1.8028000593185	-0.043650181462865
1.8042000532150	-0.035999037239597
1.8056000471115	-0.028808967131974
1.8070000410080	-0.022206920995366
1.8084000349045	-0.016306305439484
1.8098000288010	-0.011207528493925
1.8112000226974	-0.0069928627877910
1.8126000165939	-0.0037267739711537
1.8140000104904	-0.0014564328068241
1.8154000043869	-0.00021074021171705
1.8167999982834	5.8226771121859e-08
1.8181999921799	-0.00081226940066525
1.8195999860764	-0.0026178685266595
1.8209999799728	-0.0053743299511374
1.8223999738693	-0.0090175156326146
1.8237999677658	-0.013468367184291
1.8251999616623	-0.018635543265914
1.8265999555588	-0.024415594799099
1.8279999494553	-0.030690163094587
1.8293999433517	-0.037340174534025
1.8308000564575	-0.044233712854769
1.8322000503540	-0.051240852395896
1.8336000442505	-0.058226080435567
1.8350000381470	-0.065059221924090
1.8364000320435	-0.071611891921711
1.8378000259399	-0.077761248024441
1.8392000198364	-0.083397236026932
1.8406000137329	-0.088414797100607
1.8420000076294	-0.092726889587679
1.8434000015259	-0.096257645208384
1.8447999954224	-0.098949447405575
1.8461999893188	-0.10076041198668
1.8475999832153	-0.10166545911495
1.8489999771118	-0.10165984284198
1.8503999710083	-0.10075404817703
1.8517999649048	-0.098977209838377
1.8531999588013	-0.096376064079468
1.8545999526978	-0.093009261682246
1.8559999465942	-0.088954954279874
1.8573999404907	-0.084298128320892
1.8588000535965	-0.079136655045303
1.8602000474930	-0.073577418650689
1.8616000413895	-0.067730158567854
1.8630000352859	-0.061711358076823
1.8644000291824	-0.055639694390032
1.8658000230789	-0.049629053055816
1.8672000169754	-0.043793721654169
1.8686000108719	-0.038240995073170
1.8700000047684	-0.033072041889099
1.8713999986649	-0.028380259689599
1.8727999925613	-0.024246932184671
1.8741999864578	-0.020742664759830
1.8755999803543	-0.017927353373490
1.8769999742508	-0.015844062165836
1.8783999681473	-0.014524370857449
1.8797999620438	-0.013983640117959
1.8811999559402	-0.014225820444647
1.8825999498367	-0.015236937466456
1.8839999437332	-0.016990111918026
1.8854000568390	-0.019447994303031
1.8868000507355	-0.022556030204626
1.8882000446320	-0.026251431632233
1.8896000385284	-0.030459533803511
1.8910000324249	-0.035098796070687
1.8924000263214	-0.040077703155655
1.8938000202179	-0.045300763864228
1.8952000141144	-0.050668086148993
1.8966000080109	-0.056078154897702
1.8980000019073	-0.061430044309045
1.8993999958038	-0.066621818874045
1.9007999897003	-0.071558292424596
1.9021999835968	-0.076149782313548
1.9035999774933	-0.080312291151155
1.9049999713898	-0.083970978335232
1.9063999652863	-0.087061391785590
1.9077999591827	-0.089531785836075
1.9091999530792	-0.091341194459260
1.9105999469757	-0.092462657782628
1.9119999408722	-0.092882620423828
1.9134000539780	-0.092600273117809
1.9148000478745	-0.091631661913090
1.9162000417709	-0.090000069490687
1.9176000356674	-0.087747597457244
1.9190000295639	-0.084925446307618
1.9204000234604	-0.081593210115660
1.9218000173569	-0.077822547149267
1.9232000112534	-0.073691025935088
1.9246000051498	-0.069283016361093
1.9259999990463	-0.064686268543376
1.9273999929428	-0.059990398895837
1.9287999868393	-0.055288470763749
1.9301999807358	-0.050670550077486
1.9315999746323	-0.046224136041364
1.9329999685287	-0.042033093439326
1.9343999624252	-0.038174757452924
1.9357999563217	-0.034719101676603
1.9371999502182	-0.031728899352087
1.9385999441147	-0.029257212889416
