"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.39000000000E+009, -6.52658151299E+000, +0.00000000000E+000
+2.39050000000E+009, -6.53403611985E+000, +0.00000000000E+000
+2.39100000000E+009, -6.53323190250E+000, +0.00000000000E+000
+2.39150000000E+009, -6.53470189758E+000, +0.00000000000E+000
+2.39200000000E+009, -6.51980133622E+000, +0.00000000000E+000
+2.39250000000E+009, -6.53348586499E+000, +0.00000000000E+000
+2.39300000000E+009, -6.53521799377E+000, +0.00000000000E+000
+2.39350000000E+009, -6.52883020754E+000, +0.00000000000E+000
+2.39400000000E+009, -6.52907893675E+000, +0.00000000000E+000
+2.39450000000E+009, -6.52306341332E+000, +0.00000000000E+000
+2.39500000000E+009, -6.53088932185E+000, +0.00000000000E+000
+2.39550000000E+009, -6.53050615290E+000, +0.00000000000E+000
+2.39600000000E+009, -6.53980779724E+000, +0.00000000000E+000
+2.39650000000E+009, -6.54076669780E+000, +0.00000000000E+000
+2.39700000000E+009, -6.52020653077E+000, +0.00000000000E+000
+2.39750000000E+009, -6.52871100590E+000, +0.00000000000E+000
+2.39800000000E+009, -6.53161826315E+000, +0.00000000000E+000
+2.39850000000E+009, -6.53303361626E+000, +0.00000000000E+000
+2.39900000000E+009, -6.52293731955E+000, +0.00000000000E+000
+2.39950000000E+009, -6.52753080516E+000, +0.00000000000E+000
+2.40000000000E+009, -6.54528829676E+000, +0.00000000000E+000
+2.40050000000E+009, -6.53091940889E+000, +0.00000000000E+000
+2.40100000000E+009, -6.54377070010E+000, +0.00000000000E+000
+2.40150000000E+009, -6.53572404309E+000, +0.00000000000E+000
+2.40200000000E+009, -6.52912072261E+000, +0.00000000000E+000
+2.40250000000E+009, -6.53906642496E+000, +0.00000000000E+000
+2.40300000000E+009, -6.53924635478E+000, +0.00000000000E+000
+2.40350000000E+009, -6.52286050576E+000, +0.00000000000E+000
+2.40400000000E+009, -6.53134000227E+000, +0.00000000000E+000
