Freq.	Vn00
Step Information: Tol=-160m  Run: 1/
1.50000000000000e+009	-2.15566949846855e+002	-9.77633786832590e+001
1.50345785711685e+009	-2.15324837996562e+002	-9.77928270013798e+001
1.50692368541759e+009	-2.15082081850280e+002	-9.78224767192734e+001
1.51039750327771e+009	-2.14838676242588e+002	-9.78523299237360e+001
1.51387932911503e+009	-2.14594615952665e+002	-9.78823887311628e+001
1.51736918138985e+009	-2.14349895703511e+002	-9.79126552880739e+001
1.52086707860502e+009	-2.14104510161150e+002	-9.79431317716498e+001
1.52437303930604e+009	-2.13858453933815e+002	-9.79738203902801e+001
1.52788708208117e+009	-2.13611721571130e+002	-9.80047233841230e+001
1.53140922556152e+009	-2.13364307563262e+002	-9.80358430256767e+001
1.53493948842113e+009	-2.13116206340074e+002	-9.80671816203644e+001
1.53847788937711e+009	-2.12867412270247e+002	-9.80987415071305e+001
1.54202444718971e+009	-2.12617919660399e+002	-9.81305250590507e+001
1.54557918066242e+009	-2.12367722754180e+002	-9.81625346839557e+001
1.54914210864210e+009	-2.12116815731353e+002	-9.81947728250677e+001
1.55271325001901e+009	-2.11865192706860e+002	-9.82272419616517e+001
1.55629262372702e+009	-2.11612847729868e+002	-9.82599446096811e+001
1.55988024874359e+009	-2.11359774782795e+002	-9.82928833225177e+001
1.56347614408995e+009	-2.11105967780328e+002	-9.83260606916073e+001
1.56708032883120e+009	-2.10851420568410e+002	-9.83594793471910e+001
1.57069282207635e+009	-2.10596126923219e+002	-9.83931419590319e+001
1.57431364297848e+009	-2.10340080550119e+002	-9.84270512371586e+001
1.57794281073483e+009	-2.10083275082595e+002	-9.84612099326256e+001
1.58158034458689e+009	-2.09825704081174e+002	-9.84956208382908e+001
1.58522626382049e+009	-2.09567361032313e+002	-9.85302867896111e+001
1.58888058776593e+009	-2.09308239347275e+002	-9.85652106654553e+001
1.59254333579808e+009	-2.09048332360981e+002	-9.86003953889370e+001
1.59621452733647e+009	-2.08787633330841e+002	-9.86358439282660e+001
1.59989418184538e+009	-2.08526135435560e+002	-9.86715592976191e+001
1.60358231883398e+009	-2.08263831773923e+002	-9.87075445580322e+001
1.60727895785641e+009	-2.08000715363556e+002	-9.87438028183119e+001
1.61098411851186e+009	-2.07736779139662e+002	-9.87803372359700e+001
1.61469782044475e+009	-2.07472015953733e+002	-9.88171510181787e+001
1.61842008334474e+009	-2.07206418572239e+002	-9.88542474227490e+001
1.62215092694690e+009	-2.06939979675284e+002	-9.88916297591321e+001
1.62589037103180e+009	-2.06672691855247e+002	-9.89293013894452e+001
1.62963843542560e+009	-2.06404547615382e+002	-9.89672657295207e+001
1.63339514000015e+009	-2.06135539368403e+002	-9.90055262499822e+001
1.63716050467313e+009	-2.05865659435031e+002	-9.90440864773445e+001
1.64093454940814e+009	-2.05594900042520e+002	-9.90829499951422e+001
1.64471729421477e+009	-2.05323253323143e+002	-9.91221204450843e+001
1.64850875914878e+009	-2.05050711312661e+002	-9.91616015282378e+001
1.65230896431212e+009	-2.04777265948745e+002	-9.92013970062394e+001
1.65611792985311e+009	-2.04502909069380e+002	-9.92415107025385e+001
1.65993567596650e+009	-2.04227632411229e+002	-9.92819465036695e+001
1.66376222289360e+009	-2.03951427607961e+002	-9.93227083605560e+001
1.66759759092238e+009	-2.03674286188552e+002	-9.93638002898482e+001
1.67144180038759e+009	-2.03396199575544e+002	-9.94052263752929e+001
1.67529487167084e+009	-2.03117159083272e+002	-9.94469907691386e+001
1.67915682520072e+009	-2.02837155916049e+002	-9.94890976935752e+001
1.68302768145294e+009	-2.02556181166321e+002	-9.95315514422114e+001
1.68690746095039e+009	-2.02274225812772e+002	-9.95743563815880e+001
1.69079618426326e+009	-2.01991280718400e+002	-9.96175169527321e+001
1.69469387200919e+009	-2.01707336628541e+002	-9.96610376727488e+001
1.69860054485333e+009	-2.01422384168863e+002	-9.97049231364558e+001
1.70251622350847e+009	-2.01136413843304e+002	-9.97491780180592e+001
1.70644092873514e+009	-2.00849416031977e+002	-9.97938070728734e+001
1.71037468134175e+009	-2.00561380989019e+002	-9.98388151390856e+001
1.71431750218465e+009	-2.00272298840405e+002	-9.98842071395668e+001
1.71826941216830e+009	-1.99982159581700e+002	-9.99299880837303e+001
1.72223043224532e+009	-1.99690953075776e+002	-9.99761630694397e+001
1.72620058341665e+009	-1.99398669050468e+002	-1.00022737284967e+002
1.73017988673163e+009	-1.99105297096184e+002	-1.00069716011004e+002
1.73416836328814e+009	-1.98810826663460e+002	-1.00117104622726e+002
1.73816603423268e+009	-1.98515247060456e+002	-1.00164908591912e+002
1.74217292076051e+009	-1.98218547450406e+002	-1.00213133489124e+002
1.74618904411573e+009	-1.97920716848998e+002	-1.00261784985941e+002
1.75021442559144e+009	-1.97621744121709e+002	-1.00310868857262e+002
1.75424908652980e+009	-1.97321617981061e+002	-1.00360390983658e+002
1.75829304832219e+009	-1.97020326983834e+002	-1.00410357353806e+002
1.76234633240929e+009	-1.96717859528200e+002	-1.00460774066981e+002
1.76640896028120e+009	-1.96414203850796e+002	-1.00511647335612e+002
1.77048095347759e+009	-1.96109348023735e+002	-1.00562983487925e+002
1.77456233358774e+009	-1.95803279951535e+002	-1.00614788970642e+002
1.77865312225073e+009	-1.95495987367987e+002	-1.00667070351772e+002
1.78275334115552e+009	-1.95187457832942e+002	-1.00719834323471e+002
1.78686301204106e+009	-1.94877678729030e+002	-1.00773087704987e+002
1.79098215669640e+009	-1.94566637258292e+002	-1.00826837445689e+002
1.79511079696086e+009	-1.94254320438740e+002	-1.00881090628182e+002
