Freq.	Vn00    Phase
1.54771595290137e+009	-1.90625492169952e+002	-1.01532737610858e+002
1.54807236870182e+009	-1.90592640461679e+002	-1.01538819773538e+002
1.54842886657948e+009	-1.90559774219112e+002	-1.01544907975231e+002
1.54878544655327e+009	-1.90526893426529e+002	-1.01551002225075e+002
1.54914210864208e+009	-1.90493998068186e+002	-1.01557102532225e+002
1.54949885286483e+009	-1.90461088128314e+002	-1.01563208905857e+002
1.54985567924043e+009	-1.90428163591118e+002	-1.01569321355165e+002
1.55021258778780e+009	-1.90395224440782e+002	-1.01575439889359e+002
1.55056957852586e+009	-1.90362270661464e+002	-1.01581564517672e+002
1.55092665147354e+009	-1.90329302237297e+002	-1.01587695249353e+002
1.55128380664977e+009	-1.90296319152393e+002	-1.01593832093670e+002
1.55164104407349e+009	-1.90263321390837e+002	-1.01599975059912e+002
1.55199836376364e+009	-1.90230308936689e+002	-1.01606124157384e+002
1.55235576573916e+009	-1.90197281773987e+002	-1.01612279395413e+002
1.55271325001900e+009	-1.90164239886742e+002	-1.01618440783341e+002
1.55307081662211e+009	-1.90131183258943e+002	-1.01624608330534e+002
1.55342846556746e+009	-1.90098111874554e+002	-1.01630782046373e+002
1.55378619687400e+009	-1.90065025717511e+002	-1.01636961940260e+002
1.55414401056071e+009	-1.90031924771731e+002	-1.01643148021617e+002
1.55450190664654e+009	-1.89998809021101e+002	-1.01649340299884e+002
1.55485988515049e+009	-1.89965678449486e+002	-1.01655538784521e+002
1.55521794609152e+009	-1.89932533040726e+002	-1.01661743485005e+002
1.55557608948862e+009	-1.89899372778635e+002	-1.01667954410837e+002
1.55593431536078e+009	-1.89866197647004e+002	-1.01674171571534e+002
1.55629262372700e+009	-1.89833007629598e+002	-1.01680394976633e+002
1.55665101460626e+009	-1.89799802710155e+002	-1.01686624635692e+002
1.55700948801758e+009	-1.89766582872392e+002	-1.01692860558287e+002
1.55736804397995e+009	-1.89733348099997e+002	-1.01699102754015e+002
1.55772668251239e+009	-1.89700098376636e+002	-1.01705351232491e+002
1.55808540363391e+009	-1.89666833685947e+002	-1.01711606003352e+002
1.55844420736353e+009	-1.89633554011544e+002	-1.01717867076253e+002
1.55880309372028e+009	-1.89600259337016e+002	-1.01724134460870e+002
1.55916206272318e+009	-1.89566949645927e+002	-1.01730408166899e+002
1.55952111439126e+009	-1.89533624921814e+002	-1.01736688204054e+002
1.55988024874357e+009	-1.89500285148189e+002	-1.01742974582072e+002
1.56023946579913e+009	-1.89466930308540e+002	-1.01749267310707e+002
1.56059876557701e+009	-1.89433560386327e+002	-1.01755566399737e+002
1.56095814809624e+009	-1.89400175364986e+002	-1.01761871858957e+002
1.56131761337588e+009	-1.89366775227927e+002	-1.01768183698182e+002
1.56167716143499e+009	-1.89333359958535e+002	-1.01774501927250e+002
1.56203679229263e+009	-1.89299929540166e+002	-1.01780826556017e+002
1.56239650596787e+009	-1.89266483956155e+002	-1.01787157594361e+002
1.56275630247979e+009	-1.89233023189806e+002	-1.01793495052179e+002
1.56311618184745e+009	-1.89199547224402e+002	-1.01799838939389e+002
1.56347614408993e+009	-1.89166056043196e+002	-1.01806189265931e+002
1.56383618922633e+009	-1.89132549629416e+002	-1.01812546041763e+002
1.56419631727574e+009	-1.89099027966267e+002	-1.01818909276866e+002
1.56455652825723e+009	-1.89065491036922e+002	-1.01825278981241e+002
1.56491682218993e+009	-1.89031938824533e+002	-1.01831655164908e+002
1.56527719909291e+009	-1.88998371312223e+002	-1.01838037837911e+002
1.56563765898530e+009	-1.88964788483089e+002	-1.01844427010312e+002
1.56599820188621e+009	-1.88931190320203e+002	-1.01850822692196e+002
1.56635882781474e+009	-1.88897576806608e+002	-1.01857224893668e+002
1.56671953679002e+009	-1.88863947925323e+002	-1.01863633624853e+002
1.56708032883118e+009	-1.88830303659339e+002	-1.01870048895901e+002
1.56744120395734e+009	-1.88796643991620e+002	-1.01876470716978e+002
1.56780216218763e+009	-1.88762968905105e+002	-1.01882899098274e+002
1.56816320354120e+009	-1.88729278382706e+002	-1.01889334050002e+002
1.56852432803718e+009	-1.88695572407306e+002	-1.01895775582392e+002
1.56888553569473e+009	-1.88661850961764e+002	-1.01902223705698e+002
1.56924682653299e+009	-1.88628114028910e+002	-1.01908678430195e+002
1.56960820057111e+009	-1.88594361591549e+002	-1.01915139766181e+002
1.56996965782827e+009	-1.88560593632456e+002	-1.01921607723973e+002
1.57033119832362e+009	-1.88526810134382e+002	-1.01928082313910e+002
1.57069282207632e+009	-1.88493011080050e+002	-1.01934563546355e+002
1.57105452910557e+009	-1.88459196452155e+002	-1.01941051431690e+002
1.57141631943052e+009	-1.88425366233365e+002	-1.01947545980320e+002
1.57177819307036e+009	-1.88391520406322e+002	-1.01954047202672e+002
1.57214015004428e+009	-1.88357658953639e+002	-1.01960555109193e+002
1.57250219037148e+009	-1.88323781857901e+002	-1.01967069710356e+002
1.57286431407113e+009	-1.88289889101669e+002	-1.01973591016652e+002
1.57322652116245e+009	-1.88255980667473e+002	-1.01980119038596e+002
1.57358881166464e+009	-1.88222056537817e+002	-1.01986653786724e+002
1.57395118559691e+009	-1.88188116695176e+002	-1.01993195271595e+002
1.57431364297846e+009	-1.88154161122000e+002	-1.01999743503791e+002
1.57467618382852e+009	-1.88120189800708e+002	-1.02006298493915e+002
1.57503880816630e+009	-1.88086202713694e+002	-1.02012860252592e+002
1.57540151601104e+009	-1.88052199843323e+002	-1.02019428790470e+002
1.57576430738196e+009	-1.88018181171930e+002	-1.02026004118221e+002
1.57612718229830e+009	-1.87984146681826e+002	-1.02032586246537e+002
1.57649014077930e+009	-1.87950096355291e+002	-1.02039175186134e+002
1.57685318284420e+009	-1.87916030174578e+002	-1.02045770947750e+002
1.57721630851225e+009	-1.87881948121912e+002	-1.02052373542146e+002
1.57757951780270e+009	-1.87847850179489e+002	-1.02058982980107e+002
1.57794281073481e+009	-1.87813736329478e+002	-1.02065599272438e+002
1.57830618732784e+009	-1.87779606554017e+002	-1.02072222429970e+002
1.57866964760105e+009	-1.87745460835219e+002	-1.02078852463554e+002
1.57903319157373e+009	-1.87711299155166e+002	-1.02085489384067e+002
1.57939681926513e+009	-1.87677121495913e+002	-1.02092133202406e+002
1.57976053069455e+009	-1.87642927839485e+002	-1.02098783929494e+002
1.58012432588125e+009	-1.87608718167880e+002	-1.02105441576275e+002
1.58048820484455e+009	-1.87574492463067e+002	-1.02112106153718e+002
1.58085216760371e+009	-1.87540250706984e+002	-1.02118777672814e+002
1.58121621417805e+009	-1.87505992881544e+002	-1.02125456144577e+002
1.58158034458686e+009	-1.87471718968627e+002	-1.02132141580046e+002
1.58194455884945e+009	-1.87437428950087e+002	-1.02138833990283e+002
1.58230885698513e+009	-1.87403122807748e+002	-1.02145533386372e+002
1.58267323901321e+009	-1.87368800523405e+002	-1.02152239779424e+002
1.58303770495301e+009	-1.87334462078823e+002	-1.02158953180570e+002
1.58340225482386e+009	-1.87300107455740e+002	-1.02165673600967e+002
1.58376688864509e+009	-1.87265736635862e+002	-1.02172401051795e+002
1.58413160643602e+009	-1.87231349600868e+002	-1.02179135544259e+002
1.58449640821600e+009	-1.87196946332406e+002	-1.02185877089585e+002
1.58486129400436e+009	-1.87162526812096e+002	-1.02192625699027e+002
1.58522626382046e+009	-1.87128091021527e+002	-1.02199381383860e+002
1.58559131768363e+009	-1.87093638942260e+002	-1.02206144155384e+002
1.58595645561324e+009	-1.87059170555824e+002	-1.02212914024925e+002
1.58632167762865e+009	-1.87024685843721e+002	-1.02219691003830e+002
1.58668698374922e+009	-1.86990184787422e+002	-1.02226475103472e+002
1.58705237399431e+009	-1.86955667368367e+002	-1.02233266335250e+002
1.58741784838331e+009	-1.86921133567969e+002	-1.02240064710584e+002
1.58778340693558e+009	-1.86886583367608e+002	-1.02246870240922e+002
1.58814904967051e+009	-1.86852016748636e+002	-1.02253682937734e+002
1.58851477660749e+009	-1.86817433692375e+002	-1.02260502812516e+002
1.58888058776590e+009	-1.86782834180115e+002	-1.02267329876788e+002
1.58924648316514e+009	-1.86748218193116e+002	-1.02274164142096e+002
1.58961246282461e+009	-1.86713585712611e+002	-1.02281005620009e+002
1.58997852676372e+009	-1.86678936719799e+002	-1.02287854322123e+002
1.59034467500187e+009	-1.86644271195850e+002	-1.02294710260057e+002
1.59071090755847e+009	-1.86609589121903e+002	-1.02301573445456e+002
1.59107722445294e+009	-1.86574890479067e+002	-1.02308443889991e+002
1.59144362570471e+009	-1.86540175248421e+002	-1.02315321605356e+002
1.59181011133319e+009	-1.86505443411012e+002	-1.02322206603273e+002
1.59217668135783e+009	-1.86470694947857e+002	-1.02329098895487e+002
1.59254333579805e+009	-1.86435929839941e+002	-1.02335998493769e+002
1.59291007467330e+009	-1.86401148068222e+002	-1.02342905409917e+002
1.59327689800302e+009	-1.86366349613621e+002	-1.02349819655752e+002
1.59364380580666e+009	-1.86331534457033e+002	-1.02356741243123e+002
1.59401079810366e+009	-1.86296702579321e+002	-1.02363670183902e+002
1.59437787491350e+009	-1.86261853961314e+002	-1.02370606489990e+002
1.59474503625563e+009	-1.86226988583812e+002	-1.02377550173312e+002
1.59511228214951e+009	-1.86192106427586e+002	-1.02384501245818e+002
1.59547961261462e+009	-1.86157207473371e+002	-1.02391459719486e+002
1.59584702767044e+009	-1.86122291701873e+002	-1.02398425606318e+002
1.59621452733644e+009	-1.86087359093767e+002	-1.02405398918344e+002
1.59658211163211e+009	-1.86052409629695e+002	-1.02412379667618e+002
1.59694978057693e+009	-1.86017443290270e+002	-1.02419367866223e+002
1.59731753419041e+009	-1.85982460056069e+002	-1.02426363526266e+002
1.59768537249203e+009	-1.85947459907642e+002	-1.02433366659882e+002
1.59805329550131e+009	-1.85912442825504e+002	-1.02440377279230e+002
1.59842130323774e+009	-1.85877408790139e+002	-1.02447395396499e+002
1.59878939572085e+009	-1.85842357781999e+002	-1.02454421023901e+002
1.59915757297013e+009	-1.85807289781504e+002	-1.02461454173678e+002
1.59952583500513e+009	-1.85772204769043e+002	-1.02468494858096e+002
1.59989418184535e+009	-1.85737102724971e+002	-1.02475543089450e+002
1.60026261351033e+009	-1.85701983629611e+002	-1.02482598880059e+002
1.60063113001961e+009	-1.85666847463256e+002	-1.02489662242274e+002
1.60099973139272e+009	-1.85631694206163e+002	-1.02496733188467e+002
1.60136841764920e+009	-1.85596523838560e+002	-1.02503811731041e+002
1.60173718880861e+009	-1.85561336340640e+002	-1.02510897882425e+002
1.60210604489049e+009	-1.85526131692564e+002	-1.02517991655076e+002
1.60247498591440e+009	-1.85490909874462e+002	-1.02525093061477e+002
1.60284401189990e+009	-1.85455670866430e+002	-1.02532202114140e+002
1.60321312286656e+009	-1.85420414648529e+002	-1.02539318825603e+002
1.60358231883395e+009	-1.85385141200792e+002	-1.02546443208432e+002
1.60395159982164e+009	-1.85349850503214e+002	-1.02553575275222e+002
1.60432096584920e+009	-1.85314542535761e+002	-1.02560715038593e+002
1.60469041693623e+009	-1.85279217278363e+002	-1.02567862511195e+002
1.60505995310231e+009	-1.85243874710919e+002	-1.02575017705705e+002
1.60542957436704e+009	-1.85208514813294e+002	-1.02582180634829e+002
1.60579928075000e+009	-1.85173137565318e+002	-1.02589351311299e+002
1.60616907227081e+009	-1.85137742946790e+002	-1.02596529747877e+002
1.60653894894907e+009	-1.85102330937475e+002	-1.02603715957353e+002
1.60690891080438e+009	-1.85066901517104e+002	-1.02610909952543e+002
1.60727895785637e+009	-1.85031454665374e+002	-1.02618111746294e+002
1.60764909012465e+009	-1.84995990361950e+002	-1.02625321351480e+002
1.60801930762885e+009	-1.84960508586461e+002	-1.02632538781004e+002
1.60838961038859e+009	-1.84925009318503e+002	-1.02639764047798e+002
1.60875999842352e+009	-1.84889492537639e+002	-1.02646997164821e+002
1.60913047175325e+009	-1.84853958223398e+002	-1.02654238145063e+002
1.60950103039745e+009	-1.84818406355273e+002	-1.02661487001541e+002
1.60987167437575e+009	-1.84782836912724e+002	-1.02668743747302e+002
1.61024240370781e+009	-1.84747249875179e+002	-1.02676008395420e+002
1.61061321841328e+009	-1.84711645222028e+002	-1.02683280959001e+002
1.61098411851183e+009	-1.84676022932629e+002	-1.02690561451178e+002
1.61135510402311e+009	-1.84640382986304e+002	-1.02697849885114e+002
1.61172617496679e+009	-1.84604725362343e+002	-1.02705146274001e+002
1.61209733136256e+009	-1.84569050039999e+002	-1.02712450631061e+002
1.61246857323008e+009	-1.84533356998491e+002	-1.02719762969544e+002
1.61283990058905e+009	-1.84497646217003e+002	-1.02727083302730e+002
1.61321131345914e+009	-1.84461917674686e+002	-1.02734411643931e+002
1.61358281186006e+009	-1.84426171350654e+002	-1.02741748006485e+002
1.61395439581149e+009	-1.84390407223986e+002	-1.02749092403763e+002
1.61432606533314e+009	-1.84354625273727e+002	-1.02756444849163e+002
1.61469782044471e+009	-1.84318825478888e+002	-1.02763805356114e+002
1.61506966116592e+009	-1.84283007818441e+002	-1.02771173938077e+002
1.61544158751647e+009	-1.84247172271328e+002	-1.02778550608541e+002
1.61581359951609e+009	-1.84211318816450e+002	-1.02785935381025e+002
1.61618569718451e+009	-1.84175447432676e+002	-1.02793328269079e+002
1.61655788054144e+009	-1.84139558098839e+002	-1.02800729286284e+002
1.61693014960662e+009	-1.84103650793737e+002	-1.02808138446250e+002
1.61730250439980e+009	-1.84067725496130e+002	-1.02815555762619e+002
1.61767494494070e+009	-1.84031782184745e+002	-1.02822981249062e+002
1.61804747124909e+009	-1.83995820838271e+002	-1.02830414919282e+002
1.61842008334470e+009	-1.83959841435362e+002	-1.02837856787013e+002
1.61879278124730e+009	-1.83923843954636e+002	-1.02845306866019e+002
1.61916556497664e+009	-1.83887828374676e+002	-1.02852765170095e+002
1.61953843455249e+009	-1.83851794674026e+002	-1.02860231713067e+002
1.61991138999461e+009	-1.83815742831196e+002	-1.02867706508792e+002
1.62028443132279e+009	-1.83779672824659e+002	-1.02875189571161e+002
1.62065755855680e+009	-1.83743584632852e+002	-1.02882680914091e+002
1.62103077171642e+009	-1.83707478234176e+002	-1.02890180551536e+002
1.62140407082144e+009	-1.83671353606993e+002	-1.02897688497477e+002
1.62177745589166e+009	-1.83635210729631e+002	-1.02905204765930e+002
1.62215092694686e+009	-1.83599049580381e+002	-1.02912729370940e+002
1.62252448400685e+009	-1.83562870137495e+002	-1.02920262326585e+002
1.62289812709144e+009	-1.83526672379190e+002	-1.02927803646975e+002
1.62327185622044e+009	-1.83490456283646e+002	-1.02935353346252e+002
1.62364567141365e+009	-1.83454221829005e+002	-1.02942911438589e+002
1.62401957269090e+009	-1.83417968993373e+002	-1.02950477938192e+002
1.62439356007202e+009	-1.83381697754817e+002	-1.02958052859300e+002
1.62476763357683e+009	-1.83345408091369e+002	-1.02965636216182e+002
1.62514179322516e+009	-1.83309099981021e+002	-1.02973228023142e+002
1.62551603903686e+009	-1.83272773401730e+002	-1.02980828294514e+002
1.62589037103176e+009	-1.83236428331415e+002	-1.02988437044667e+002
1.62626478922971e+009	-1.83200064747954e+002	-1.02996054288000e+002
1.62663929365056e+009	-1.83163682629193e+002	-1.03003680038948e+002
1.62701388431418e+009	-1.83127281952935e+002	-1.03011314311976e+002
1.62738856124041e+009	-1.83090862696947e+002	-1.03018957121584e+002
1.62776332444912e+009	-1.83054424838960e+002	-1.03026608482303e+002
1.62813817396019e+009	-1.83017968356663e+002	-1.03034268408699e+002
1.62851310979349e+009	-1.82981493227711e+002	-1.03041936915370e+002
1.62888813196889e+009	-1.82944999429716e+002	-1.03049614016948e+002
1.62926324050628e+009	-1.82908486940257e+002	-1.03057299728098e+002
1.62963843542555e+009	-1.82871955736870e+002	-1.03064994063520e+002
1.63001371674659e+009	-1.82835405797055e+002	-1.03072697037945e+002
1.63038908448929e+009	-1.82798837098272e+002	-1.03080408666139e+002
1.63076453867357e+009	-1.82762249617944e+002	-1.03088128962903e+002
1.63114007931932e+009	-1.82725643333454e+002	-1.03095857943071e+002
1.63151570644645e+009	-1.82689018222145e+002	-1.03103595621509e+002
1.63189142007489e+009	-1.82652374261324e+002	-1.03111342013120e+002
1.63226722022454e+009	-1.82615711428257e+002	-1.03119097132840e+002
1.63264310691534e+009	-1.82579029700170e+002	-1.03126860995640e+002
1.63301908016722e+009	-1.82542329054252e+002	-1.03134633616524e+002
1.63339514000010e+009	-1.82505609467651e+002	-1.03142415010532e+002
1.63377128643393e+009	-1.82468870917476e+002	-1.03150205192737e+002
1.63414751948865e+009	-1.82432113380798e+002	-1.03158004178247e+002
1.63452383918421e+009	-1.82395336834646e+002	-1.03165811982208e+002
1.63490024554055e+009	-1.82358541256010e+002	-1.03173628619796e+002
1.63527673857764e+009	-1.82321726621841e+002	-1.03181454106224e+002
1.63565331831544e+009	-1.82284892909050e+002	-1.03189288456742e+002
1.63602998477391e+009	-1.82248040094507e+002	-1.03197131686633e+002
1.63640673797302e+009	-1.82211168155044e+002	-1.03204983811215e+002
1.63678357793275e+009	-1.82174277067450e+002	-1.03212844845844e+002
1.63716050467308e+009	-1.82137366808477e+002	-1.03220714805907e+002
1.63753751821400e+009	-1.82100437354833e+002	-1.03228593706832e+002
1.63791461857548e+009	-1.82063488683189e+002	-1.03236481564078e+002
1.63829180577753e+009	-1.82026520770173e+002	-1.03244378393143e+002
1.63866907984014e+009	-1.81989533592374e+002	-1.03252284209560e+002
1.63904644078331e+009	-1.81952527126340e+002	-1.03260199028896e+002
1.63942388862706e+009	-1.81915501348578e+002	-1.03268122866758e+002
1.63980142339139e+009	-1.81878456235553e+002	-1.03276055738787e+002
1.64017904509633e+009	-1.81841391763691e+002	-1.03283997660659e+002
1.64055675376188e+009	-1.81804307909375e+002	-1.03291948648088e+002
1.64093454940809e+009	-1.81767204648948e+002	-1.03299908716826e+002
1.64131243205497e+009	-1.81730081958712e+002	-1.03307877882659e+002
1.64169040172257e+009	-1.81692939814927e+002	-1.03315856161411e+002
1.64206845843091e+009	-1.81655778193812e+002	-1.03323843568942e+002
1.64244660220006e+009	-1.81618597071542e+002	-1.03331840121151e+002
1.64282483305005e+009	-1.81581396424255e+002	-1.03339845833972e+002
1.64320315100094e+009	-1.81544176228043e+002	-1.03347860723377e+002
1.64358155607279e+009	-1.81506936458959e+002	-1.03355884805376e+002
