x-axis,1,2,3
second,Volt,Volt,Volt
+1.3000000E+00,+11.6457287E+00,-201.0050E-03,-201.0050E-03
+1.3001000E+00,+11.8467338E+00,-201.0050E-03,-201.0050E-03
+1.3002000E+00,+11.6582915E+00,-201.0050E-03,+4.8115578E+00
+1.3003000E+00,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+1.3004000E+00,+11.6582915E+00,-389.4472E-03,+4.8241206E+00
+1.3005000E+00,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+1.3006000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3007000E+00,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+1.3008000E+00,+11.6582915E+00,-389.4472E-03,+4.8241206E+00
+1.3009000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3010000E+00,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+1.3011000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3012000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3013000E+00,+11.6582915E+00,-201.0050E-03,+5.0125629E+00
+1.3014000E+00,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+1.3015000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3016000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3017000E+00,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+1.3018000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3019000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3020000E+00,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+1.3021000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3022000E+00,+11.6582915E+00,-389.4472E-03,+4.8241206E+00
+1.3023000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3024000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3025000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3026000E+00,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+1.3027000E+00,+11.8592966E+00,-201.0050E-03,+4.6231156E+00
+1.3028000E+00,+11.6582915E+00,-201.0050E-03,+4.8115578E+00
+1.3029000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3030000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3031000E+00,+11.8467338E+00,-201.0050E-03,+4.8241206E+00
+1.3032000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3033000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3034000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3035000E+00,+11.8467338E+00,-201.0050E-03,+4.6231156E+00
+1.3036000E+00,+11.8592966E+00,-201.0050E-03,+4.8115578E+00
+1.3037000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3038000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3039000E+00,+11.6582915E+00,-201.0050E-03,+4.8241206E+00
+1.3040000E+00,+11.8467338E+00,+4.8115578E+00,+4.8241206E+00
+1.3041000E+00,+11.8592966E+00,+4.8241206E+00,+4.8241206E+00
+1.3042000E+00,+11.6582915E+00,+4.8241206E+00,+4.8241206E+00
+1.3043000E+00,+11.6582915E+00,+4.8241206E+00,+4.8241206E+00
+1.3044000E+00,+11.8467338E+00,+4.6231156E+00,+4.8241206E+00
+1.3045000E+00,+11.6582915E+00,+4.6231156E+00,+4.8241206E+00
+1.3046000E+00,+11.6582915E+00,+4.8115578E+00,+4.8241206E+00
+1.3047000E+00,+11.6582915E+00,+4.8241206E+00,+4.8241206E+00
+1.3048000E+00,+11.6582915E+00,+4.6231156E+00,+4.8241206E+00
+1.3049000E+00,+11.6582915E+00,+4.8115578E+00,+4.8241206E+00
+1.3050000E+00,+11.6582915E+00,+4.8241206E+00,+4.8241206E+00
+1.3051000E+00,+11.6582915E+00,+4.8241206E+00,+4.8241206E+00
+1.3052000E+00,+11.8467338E+00,+4.8241206E+00,+4.8241206E+00
+1.3053000E+00,+11.8592966E+00,+4.6231156E+00,+4.8241206E+00
+1.3054000E+00,+11.8592966E+00,+4.8115578E+00,+4.8241206E+00
+1.3055000E+00,+11.6582915E+00,+4.8241206E+00,+4.8241206E+00
+1.3056000E+00,+11.6582915E+00,+4.8241206E+00,+4.8241206E+00
+1.3057000E+00,+11.6582915E+00,+4.8241206E+00,+4.8241206E+00
+1.3058000E+00,+11.8467338E+00,+4.6231156E+00,+4.8241206E+00
+1.3059000E+00,+11.6582915E+00,+4.8115578E+00,+4.8241206E+00
+1.3060000E+00,+11.6582915E+00,+4.6231156E+00,+4.8241206E+00
+1.3061000E+00,+11.8467338E+00,+4.8115578E+00,+4.8241206E+00
+1.3062000E+00,+11.6582915E+00,+4.8241206E+00,+4.8241206E+00
+1.3063000E+00,+11.6582915E+00,+4.6231156E+00,+4.8241206E+00
+1.3064000E+00,+11.6582915E+00,+4.8115578E+00,+4.8241206E+00
+1.3065000E+00,+11.6582915E+00,+4.6231156E+00,+4.8241206E+00
+1.3066000E+00,+11.6582915E+00,+4.8115578E+00,-188.4422E-03
+1.3067000E+00,+11.8467338E+00,+4.8241206E+00,-201.0050E-03
+1.3068000E+00,+11.6582915E+00,+4.6231156E+00,-201.0050E-03
+1.3069000E+00,+11.6582915E+00,+4.8115578E+00,-201.0050E-03
+1.3070000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3071000E+00,+11.6582915E+00,+4.6231156E+00,+0.0E+00
+1.3072000E+00,+11.6582915E+00,+4.8115578E+00,-188.4422E-03
+1.3073000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3074000E+00,+11.6582915E+00,+4.6231156E+00,-201.0050E-03
+1.3075000E+00,+11.6582915E+00,+4.6231156E+00,-201.0050E-03
+1.3076000E+00,+11.6582915E+00,+4.8115578E+00,+0.0E+00
+1.3077000E+00,+11.6582915E+00,+4.8241206E+00,-188.4422E-03
+1.3078000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3079000E+00,+11.8467338E+00,+4.8241206E+00,-201.0050E-03
+1.3080000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3081000E+00,+11.6582915E+00,+4.6231156E+00,-201.0050E-03
+1.3082000E+00,+11.8467338E+00,+4.6231156E+00,-201.0050E-03
+1.3083000E+00,+11.8592966E+00,+4.8115578E+00,-201.0050E-03
+1.3084000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3085000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3086000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3087000E+00,+11.6582915E+00,+4.6231156E+00,-201.0050E-03
+1.3088000E+00,+11.6582915E+00,+4.8115578E+00,-201.0050E-03
+1.3089000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3090000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3091000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3092000E+00,+11.6582915E+00,+4.6231156E+00,-201.0050E-03
+1.3093000E+00,+11.6582915E+00,+4.8115578E+00,-201.0050E-03
+1.3094000E+00,+11.8467338E+00,+4.8241206E+00,-201.0050E-03
+1.3095000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3096000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3097000E+00,+11.6582915E+00,+4.6231156E+00,-201.0050E-03
+1.3098000E+00,+11.8467338E+00,+4.8115578E+00,-201.0050E-03
+1.3099000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3100000E+00,+11.6582915E+00,+4.8241206E+00,-201.0050E-03
+1.3101000E+00,+11.6582915E+00,-188.4422E-03,-201.0050E-03
+1.3102000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3103000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3104000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3105000E+00,+11.6582915E+00,-389.4472E-03,-201.0050E-03
+1.3106000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3107000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3108000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3109000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3110000E+00,+11.8467338E+00,-201.0050E-03,-201.0050E-03
+1.3111000E+00,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+1.3112000E+00,+11.8592966E+00,-201.0050E-03,+0.0E+00
+1.3113000E+00,+11.8592966E+00,-201.0050E-03,+0.0E+00
+1.3114000E+00,+11.6582915E+00,-201.0050E-03,-188.4422E-03
+1.3115000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3116000E+00,+11.6582915E+00,-201.0050E-03,+0.0E+00
+1.3117000E+00,+11.6582915E+00,-201.0050E-03,-188.4422E-03
+1.3118000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3119000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3120000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3121000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3122000E+00,+11.8467338E+00,-201.0050E-03,-201.0050E-03
+1.3123000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3124000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3125000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3126000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3127000E+00,+11.6582915E+00,-389.4472E-03,-201.0050E-03
+1.3128000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3129000E+00,+11.8467338E+00,-201.0050E-03,-201.0050E-03
+1.3130000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3131000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3132000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3133000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3134000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3135000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3136000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3137000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3138000E+00,+11.8467338E+00,-201.0050E-03,-201.0050E-03
+1.3139000E+00,+11.8592966E+00,-201.0050E-03,-201.0050E-03
+1.3140000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3141000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
+1.3142000E+00,+11.6582915E+00,-201.0050E-03,-201.0050E-03
